cos_zenith,livetime_s
0.8187500000000001,28998.35
0.8229166666666667,33648.66
0.8270833333333334,32459.73
0.83125,29045.29
0.8354166666666667,28530.63
0.8395833333333333,31042.25
0.84375,36630.9
0.8479166666666667,37523.19
0.8520833333333333,34152.77
0.85625,30558.32
0.8604166666666666,30646.48
0.8645833333333333,30777.36
0.8687499999999999,29097.11
0.8729166666666666,29732.82
0.8770833333333334,31460.36
0.8812500000000001,32689.98
0.8854166666666667,31884.92
0.8895833333333334,37457.38
0.89375,42695.23
0.8979166666666667,38338.34
0.9020833333333333,31178.37
0.90625,29230.07
0.9104166666666667,34298.59
0.9145833333333333,38157.72
0.91875,22054.96
0.9229166666666666,0.0
0.9270833333333333,0.0
0.9312499999999999,0.0
0.9354166666666666,0.0
0.9395833333333334,0.0
0.9437500000000001,0.0
0.9479166666666667,0.0
0.9520833333333334,0.0
0.95625,0.0
0.9604166666666667,0.0
0.9645833333333333,0.0
0.96875,0.0
0.9729166666666667,0.0
0.9770833333333333,0.0
0.98125,0.0
0.9854166666666666,0.0
0.9895833333333333,0.0
0.9937499999999999,0.0
0.9979166666666666,0.0
