radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.11,1.79574,7.85943,8.06834,6.62205,4.75863,0.939171,1.25096,1.7814,1.37648
0.1105,1.79422,7.84319,8.02711,6.63568,4.67614,0.903562,1.21354,1.7283,1.33125
0.111,1.79269,7.82629,7.98534,6.64874,4.59467,0.869192,1.17711,1.67661,1.28736
0.1115,1.79116,7.809,7.9433,6.66151,4.51427,0.835997,1.14162,1.62624,1.24476
0.112,1.78962,7.79114,7.90083,6.67379,4.43488,0.803954,1.10707,1.57721,1.20341
0.1125,1.78809,7.77247,7.85771,6.68538,4.3564,0.773016,1.07341,1.52945,1.16326
0.113,1.78655,7.75316,7.81404,6.69647,4.27876,0.743103,1.04058,1.48285,1.12423
0.1135,1.785,7.73318,7.76982,6.70696,4.20203,0.714216,1.0086,1.43746,1.08633
0.114,1.78345,7.71238,7.72502,6.71672,4.12628,0.686374,0.977492,1.39333,1.0496
0.1145,1.7819,7.69149,7.68021,6.7264,4.05168,0.659524,0.947248,1.35041,1.014
0.115,1.78035,7.66987,7.63489,6.73539,3.97808,0.633652,0.91784,1.30867,0.979492
0.1155,1.7788,7.64747,7.58896,6.74371,3.90531,0.608677,0.889192,1.26802,0.945992
0.116,1.77724,7.6246,7.54269,6.75159,3.83349,0.584576,0.861307,1.22845,0.913489
0.1165,1.77567,7.60107,7.496,6.75886,3.76265,0.561361,0.834204,1.18998,0.882008
0.117,1.7741,7.57715,7.44904,6.76577,3.69274,0.538965,0.807824,1.15254,0.851464
0.1175,1.77253,7.55265,7.40173,6.77208,3.62387,0.517411,0.782206,1.11619,0.821902
0.118,1.77097,7.52761,7.35404,6.77789,3.55593,0.496637,0.757288,1.08083,0.79325
0.1185,1.76939,7.50203,7.30601,6.7832,3.4889,0.476609,0.733047,1.04642,0.765472
0.119,1.76781,7.47588,7.25768,6.78789,3.4229,0.457347,0.709522,1.01303,0.738606
0.1195,1.76623,7.44951,7.20927,6.79238,3.35786,0.438785,0.686646,0.980559,0.712567
0.12,1.76466,7.42243,7.16036,6.79617,3.29366,0.420903,0.664405,0.948986,0.687337
0.1205,1.76307,7.39487,7.11121,6.79939,3.23051,0.403718,0.642841,0.918365,0.662954
0.121,1.76148,7.367,7.06199,6.80224,3.16838,0.387193,0.621922,0.888652,0.639377
0.1215,1.75989,7.33831,7.01217,6.80432,3.10697,0.371261,0.601569,0.859729,0.616509
0.122,1.7583,7.30922,6.96213,6.80599,3.04645,0.355916,0.581803,0.831616,0.594355
0.1225,1.7567,7.27978,6.91196,6.80722,2.98691,0.341168,0.56265,0.804346,0.572944
0.123,1.75509,7.24988,6.86161,6.8079,2.92836,0.327007,0.54412,0.777917,0.552265
0.1235,1.75349,7.21968,6.81117,6.80821,2.87076,0.313394,0.526189,0.752278,0.532269
0.124,1.75189,7.18923,6.76066,6.80822,2.81404,0.300292,0.50883,0.727373,0.512916
0.1245,1.75027,7.15789,6.70959,6.80724,2.75814,0.287705,0.492079,0.70321,0.494212
0.125,1.74866,7.12637,6.65855,6.80602,2.70315,0.275603,0.475927,0.679766,0.476122
0.1255,1.74704,7.09453,6.60747,6.80443,2.64909,0.263981,0.460446,0.657042,0.45865
0.126,1.74542,7.06202,6.55592,6.80205,2.59574,0.252794,0.445581,0.634958,0.441731
0.1265,1.74379,7.02938,6.50453,6.79941,2.54342,0.242073,0.431493,0.613593,0.425422
0.127,1.74217,6.99637,6.45303,6.79631,2.49194,0.231772,0.418173,0.592872,0.409659
0.1275,1.74054,6.96298,6.40139,6.79271,2.44128,0.221876,0.405684,0.572775,0.394427
0.128,1.73892,6.92929,6.34972,6.78869,2.39151,0.212382,0.394154,0.553309,0.379726
0.1285,1.73728,6.89512,6.29784,6.78408,2.34249,0.203258,0.383679,0.53442,0.365514
0.129,1.73564,6.86074,6.246,6.7791,2.29437,0.194509,0.374456,0.516134,0.351805
0.1295,1.73401,6.82607,6.19413,6.77369,2.24706,0.186112,0.36661,0.498416,0.338571
0.13,1.73236,6.79095,6.14207,6.76775,2.20047,0.178043,0.360275,0.481218,0.325775
0.1305,1.73071,6.75561,6.09007,6.76141,2.15475,0.170311,0.355741,0.46458,0.313442
0.131,1.72907,6.72012,6.03821,6.75474,2.10991,0.162907,0.353351,0.448489,0.30156
0.1315,1.72742,6.68441,5.98639,6.74769,2.06585,0.155803,0.353487,0.432898,0.290092
0.132,1.72577,6.64833,5.93447,6.74014,2.02254,0.148988,0.356491,0.417786,0.279023
0.1325,1.7241,6.61179,5.88235,6.73196,1.97988,0.142442,0.362173,0.403124,0.268328
0.133,1.72244,6.57504,5.83029,6.72341,1.938,0.136168,0.371274,0.388925,0.258015
0.1335,1.72078,6.53843,5.77867,6.71477,1.89706,0.130176,0.385054,0.375225,0.248107
0.134,1.71912,6.50136,5.72688,6.70551,1.85677,0.124426,0.402858,0.361935,0.238538
0.1345,1.71745,6.46379,5.67486,6.69559,1.81708,0.118902,0.425426,0.349032,0.229292
0.135,1.71577,6.4261,5.62297,6.68536,1.77814,0.113612,0.454017,0.336535,0.220382
0.1355,1.71411,6.38845,5.5714,6.67497,1.74002,0.108552,0.489005,0.324453,0.21181
0.136,1.71242,6.35054,5.51986,6.66412,1.70259,0.103708,0.530062,0.312752,0.203552
0.1365,1.71074,6.31256,5.46851,6.65297,1.66588,0.0990701,0.577291,0.301425,0.195599
0.137,1.70906,6.27417,5.41704,6.64123,1.62978,0.0946225,0.632865,0.290429,0.187924
0.1375,1.70738,6.23534,5.36543,6.62887,1.59427,0.090357,0.697632,0.279752,0.180518
0.138,1.70569,6.19673,5.31429,6.61647,1.55955,0.086284,0.769551,0.269437,0.173403
0.1385,1.704,6.15807,5.26337,6.6038,1.52554,0.0823901,0.850145,0.259453,0.16656
0.139,1.70231,6.11912,5.21246,6.59061,1.49214,0.0786616,0.940933,0.249768,0.159968
0.1395,1.70061,6.07992,5.16158,6.57695,1.45933,0.0750898,1.04248,0.240365,0.153613
0.14,1.69891,6.04064,5.11087,6.56302,1.42715,0.0716702,1.15439,0.231244,0.147491
0.1405,1.6972,6.00119,5.06028,6.54867,1.39559,0.0684002,1.27519,0.222405,0.141601
0.141,1.6955,5.9617,5.00992,6.53403,1.36467,0.0652753,1.4058,0.213844,0.135937
0.1415,1.69378,5.92224,4.95983,6.5192,1.33439,0.0622874,1.54796,0.205542,0.13049
0.142,1.69207,5.88246,4.90972,6.50379,1.30463,0.0594272,1.70138,0.197478,0.125242
0.1425,1.69037,5.84282,4.86003,6.48829,1.27555,0.0566977,1.86371,0.189677,0.120203
0.143,1.68865,5.80285,4.81028,6.4722,1.24697,0.0540837,2.03576,0.182095,0.115347
0.1435,1.68693,5.76305,4.76092,6.45607,1.21899,0.0515858,2.21798,0.174746,0.110679
0.144,1.6852,5.72335,4.71193,6.43981,1.19163,0.0492012,2.40898,0.167629,0.106195
0.1445,1.68347,5.68295,4.6626,6.42251,1.16468,0.0469172,2.60685,0.160711,0.101872
0.145,1.68174,5.64265,4.61361,6.40507,1.1383,0.0447361,2.81181,0.154011,0.0977186
0.1455,1.68001,5.60278,4.56523,6.38786,1.11257,0.0426563,3.02432,0.147531,0.0937348
0.146,1.67828,5.56224,4.51655,6.36963,1.08721,0.0406638,3.24451,0.141228,0.0898931
0.1465,1.67654,5.52105,4.46759,6.35042,1.06225,0.0387554,3.4704,0.135102,0.0861892
0.147,1.6748,5.48044,4.41937,6.33157,1.03794,0.0369388,3.6988,0.129194,0.0826428
0.1475,1.67306,5.44033,4.37182,6.31303,1.01422,0.0352081,3.93026,0.123489,0.0792439
