radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.065,1.91839,6.03512,7.93968,3.55433,12.9273,12.6574,9.3264,13.1552,12.9114
0.0655,1.91721,6.09025,7.99306,3.60055,12.8898,12.4445,9.21116,12.9927,12.7262
0.066,1.91604,6.14471,8.04519,3.6467,12.8491,12.2309,9.09465,12.8284,12.5397
0.0665,1.91486,6.19844,8.09603,3.69273,12.8054,12.0168,8.97704,12.6626,12.3521
0.067,1.91367,6.25169,8.14583,3.73879,12.7589,11.8027,8.85853,12.4955,12.1639
0.0675,1.91247,6.30443,8.19457,3.78486,12.7099,11.5888,8.73932,12.3275,11.9752
0.068,1.91127,6.35652,8.24211,3.83087,12.6581,11.3751,8.61944,12.1584,11.7861
0.0685,1.91007,6.4078,8.28827,3.87669,12.6033,11.1615,8.49869,11.9882,11.5964
0.069,1.90885,6.45839,8.33319,3.92241,12.546,10.9484,8.37742,11.8172,11.4065
0.0695,1.90763,6.50841,8.37698,3.96809,12.4863,10.7362,8.25584,11.6458,11.2168
0.07,1.90641,6.5578,8.41962,4.0137,12.4241,10.5247,8.13388,11.4739,11.0272
0.0705,1.90519,6.60662,8.46118,4.05928,12.3598,10.3145,8.01181,11.3018,10.838
0.071,1.90396,6.65462,8.50136,4.10466,12.293,10.1052,7.88947,11.1293,10.649
0.0715,1.90273,6.70184,8.54019,4.14984,12.2237,9.89696,7.76694,10.9565,10.4604
0.072,1.90148,6.74847,8.578,4.19499,12.1525,9.69028,7.64453,10.7839,10.2725
0.0725,1.90023,6.7943,8.61442,4.23993,12.079,9.48496,7.52207,10.6113,10.0853
0.073,1.89898,6.83938,8.64956,4.28471,12.0035,9.28121,7.39975,10.4389,9.89882
0.0735,1.89773,6.88386,8.68366,4.32942,11.9262,9.07936,7.27785,10.267,9.71354
0.074,1.89648,6.9276,8.71652,4.37395,11.847,8.87933,7.15622,10.0955,9.52928
0.0745,1.89522,6.97045,8.74796,4.41821,11.7658,8.68098,7.03478,9.92433,9.34592
0.075,1.89394,7.01246,8.77803,4.46223,11.6826,8.48451,6.91369,9.7536,9.16364
0.0755,1.89266,7.05378,8.80696,4.50612,11.5979,8.29029,6.79322,9.58373,8.98288
0.076,1.89138,7.09438,8.83471,4.54983,11.5117,8.0983,6.67336,9.41471,8.80358
0.0765,1.8901,7.13415,8.86116,4.59328,11.4238,7.90844,6.55402,9.24647,8.62564
0.077,1.88881,7.17303,8.88623,4.63646,11.3343,7.72076,6.43527,9.07909,8.44915
0.0775,1.88753,7.21112,8.91003,4.6794,11.2433,7.53549,6.31726,8.91275,8.27432
0.078,1.88624,7.24843,8.93261,4.72211,11.151,7.3527,6.20008,8.74751,8.1012
0.0785,1.88494,7.28488,8.95389,4.76455,11.0574,7.17233,6.08367,8.58339,7.92976
0.079,1.88362,7.32049,8.97392,4.8067,10.9625,6.99446,5.9681,8.42046,7.76008
0.0795,1.88231,7.35525,8.99267,4.84857,10.8664,6.81917,5.85343,8.25878,7.59227
0.08,1.881,7.38931,9.01032,4.89025,10.7693,6.64662,5.73979,8.09855,7.42649
0.0805,1.87968,7.42261,9.0268,4.93169,10.6714,6.4768,5.62716,7.93979,7.26271
0.081,1.87836,7.45477,9.04162,4.97262,10.572,6.3094,5.51536,7.78219,7.10066
0.0815,1.87703,7.4862,9.05539,5.01335,10.4718,6.14482,5.40473,7.62619,6.94075
0.082,1.8757,7.51667,9.06781,5.05368,10.3706,5.9829,5.2951,7.47162,6.78285
0.0825,1.87436,7.54645,9.07921,5.0938,10.2689,5.82391,5.18669,7.31881,6.62719
0.083,1.87302,7.57543,9.08943,5.13364,10.1665,5.66775,5.07949,7.16767,6.47374
0.0835,1.87168,7.60329,9.0981,5.17295,10.0631,5.51417,4.97334,7.01796,6.32225
0.084,1.87033,7.63027,9.10557,5.21191,9.95902,5.36341,4.86835,6.86996,6.17291
0.0845,1.86897,7.65656,9.112,5.25065,9.85459,5.2156,4.76471,6.72383,6.02597
0.085,1.86762,7.68182,9.11709,5.28893,9.74949,5.07053,4.66226,6.5794,5.88114
0.0855,1.86627,7.70677,9.12158,5.32722,9.64458,4.9286,4.5614,6.43723,5.73898
0.086,1.8649,7.73043,9.1244,5.36486,9.53875,4.78923,4.46161,6.29653,5.59875
0.0865,1.86353,7.75289,9.1257,5.40189,9.43219,4.65251,4.36296,6.15745,5.46058
0.087,1.86217,7.7747,9.1261,5.43868,9.32562,4.51875,4.26579,6.02047,5.3249
0.0875,1.8608,7.79582,9.12554,5.47522,9.21898,4.38789,4.17007,5.88551,5.19159
0.088,1.85941,7.81592,9.12361,5.51126,9.11198,4.25973,4.07565,5.75238,5.0605
0.0885,1.85802,7.83498,9.12036,5.54677,9.00466,4.13426,3.98253,5.6211,4.93165
0.089,1.85664,7.85332,9.11624,5.582,8.89742,4.01166,3.8909,5.49192,4.80522
0.0895,1.85524,7.87076,9.11089,5.61679,8.79008,3.89177,3.80064,5.36467,4.68105
0.09,1.85385,7.88726,9.10433,5.65111,8.68266,3.77455,3.71174,5.23933,4.55911
0.0905,1.85246,7.90306,9.09689,5.68512,8.57546,3.66015,3.62435,5.11612,4.43962
0.091,1.85106,7.91796,9.08832,5.7187,8.46833,3.54841,3.53835,4.99488,4.32241
0.0915,1.84965,7.93178,9.07844,5.75167,8.36106,3.43918,3.45366,4.87547,4.20732
0.092,1.84825,7.94472,9.0675,5.7842,8.25393,3.33258,3.37037,4.75804,4.09448
0.0925,1.84684,7.95699,9.0557,5.81642,8.14719,3.22868,3.28858,4.64274,3.98404
0.093,1.84542,7.96836,9.0428,5.84817,8.04069,3.12733,3.2082,4.52941,3.87585
0.0935,1.844,7.97868,9.02866,5.87932,7.93429,3.02841,3.12915,4.41795,3.76979
0.094,1.84257,7.98806,9.01349,5.90995,7.82811,2.93195,3.05148,4.30845,3.6659
0.0945,1.84116,7.99688,8.99753,5.94034,7.72256,2.8381,2.97533,4.20108,3.56435
0.095,1.83972,8.00462,8.98039,5.97007,7.61717,2.74658,2.90048,4.09555,3.46489
0.0955,1.83829,8.01156,8.9623,5.99938,7.51226,2.65747,2.82705,3.99203,3.36761
0.096,1.83685,8.0178,8.94337,6.02831,7.40792,2.57076,2.75505,3.89051,3.27251
0.0965,1.83541,8.023,8.92326,6.05663,7.30385,2.48629,2.68435,3.79084,3.17945
0.097,1.83396,8.02718,8.902,6.08432,7.20017,2.40406,2.61497,3.69302,3.08841
0.0975,1.83252,8.03096,8.88036,6.11186,7.09739,2.3242,2.5471,3.59732,2.99962
0.098,1.83107,8.03365,8.85746,6.13869,6.99495,2.24648,2.48049,3.50342,2.91278
0.0985,1.82961,8.03541,8.83351,6.16494,6.893,2.17088,2.41519,3.41135,2.82792
0.099,1.82815,8.03678,8.8092,6.19103,6.79202,2.09751,2.35134,3.32133,2.74518
0.0995,1.8267,8.03697,8.78358,6.21633,6.69138,2.02614,2.28871,3.23303,2.6643
0.1,1.82524,8.03632,8.75712,6.2411,6.59144,1.95686,2.22742,3.14662,2.58541
0.1005,1.82377,8.03479,8.72966,6.2653,6.49206,1.8895,2.16735,3.06192,2.50834
0.101,1.8223,8.03281,8.70175,6.2893,6.39357,1.82413,2.10861,2.9791,2.43319
0.1015,1.82083,8.02973,8.67272,6.31254,6.29565,1.76067,2.05111,2.89802,2.35989
0.102,1.81935,8.02591,8.64294,6.33524,6.19863,1.69918,1.99493,2.81883,2.2885
0.1025,1.81788,8.02151,8.61258,6.35763,6.10242,1.6395,1.93998,2.74135,2.21888
0.103,1.81639,8.01614,8.58119,6.37939,6.00672,1.58151,1.88613,2.66542,2.15089
0.1035,1.8149,8.01011,8.54922,6.40061,5.91217,1.52547,1.83368,2.59147,2.08487
0.104,1.81342,8.00322,8.51636,6.42132,5.81812,1.47099,1.78225,2.51896,2.02035
0.1045,1.81192,7.99551,8.48272,6.44141,5.72498,1.41825,1.73206,2.44818,1.95759
0.105,1.81042,7.98693,8.44823,6.46088,5.63258,1.36712,1.68299,2.379,1.89643
0.1055,1.80892,7.9776,8.413,6.47985,5.54091,1.31753,1.635,2.31133,1.83682
0.106,1.80742,7.96782,8.37741,6.49848,5.45044,1.26963,1.58825,2.24543,1.77894
