radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.066,1.91448,6.13395,8.05685,3.61526,12.8454,12.2698,9.48594,12.7872,12.514
0.0665,1.91329,6.18807,8.1081,3.66166,12.8029,12.0562,9.36223,12.6205,12.3258
0.067,1.91208,6.24159,8.15817,3.70804,12.7575,11.8423,9.23759,12.4526,12.1368
0.0675,1.91087,6.29442,8.20693,3.75433,12.7092,11.6284,9.11205,12.2835,11.9472
0.068,1.90965,6.34688,8.25487,3.80071,12.6586,11.4151,8.98613,12.1138,11.7576
0.0685,1.90844,6.39855,8.3014,3.84693,12.6051,11.2018,8.85939,11.9431,11.5675
0.069,1.90721,6.44933,8.34641,3.89295,12.5486,10.9886,8.73186,11.7712,11.3769
0.0695,1.90597,6.49962,8.39041,3.93898,12.4898,10.7764,8.60416,11.5991,11.1866
0.07,1.90475,6.54944,8.43346,3.98503,12.4289,10.5654,8.47638,11.427,10.9968
0.0705,1.9035,6.59841,8.47509,4.03089,12.3654,10.3549,8.34812,11.2542,10.807
0.071,1.90225,6.64661,8.51536,4.0766,12.2993,10.1454,8.21958,11.081,10.6173
0.0715,1.901,6.69412,8.55442,4.12219,12.231,9.93721,8.09103,10.9078,10.4283
0.072,1.89974,6.74093,8.59224,4.16765,12.1605,9.73038,7.9626,10.7347,10.2401
0.0725,1.89848,6.78696,8.62875,4.21294,12.0879,9.52493,7.83421,10.5617,10.0525
0.073,1.89722,6.83236,8.66414,4.25814,12.0133,9.32114,7.70606,10.3891,9.86587
0.0735,1.89595,6.87716,8.69844,4.30327,11.937,9.11922,7.57834,10.217,9.68042
0.074,1.89467,6.92093,8.73111,4.34805,11.8582,8.91872,7.45065,10.0449,9.49564
0.0745,1.89339,6.96413,8.76279,4.39277,11.7779,8.72034,7.3236,9.87374,9.3123
0.075,1.89211,7.00616,8.79266,4.43706,11.6952,8.52348,7.19663,9.70266,9.12973
0.0755,1.89082,7.04807,8.82216,4.48156,11.6119,8.32944,7.07084,9.5332,8.94931
0.076,1.88953,7.08851,8.84945,4.52541,11.5257,8.13668,6.94496,9.36354,8.7694
0.0765,1.88823,7.12879,8.87632,4.56945,11.4391,7.94689,6.82034,9.19568,8.59182
0.077,1.88692,7.16793,8.90146,4.61305,11.3503,7.75899,6.69613,9.02833,8.41535
0.0775,1.88561,7.20615,8.92516,4.65634,11.2598,7.57331,6.57259,8.86187,8.24037
0.078,1.88431,7.24368,8.94779,4.69946,11.1682,7.3902,6.45002,8.69673,8.06728
0.0785,1.88299,7.28035,8.96916,4.74232,11.0752,7.20949,6.3283,8.53271,7.89591
0.079,1.88168,7.31635,8.98936,4.78499,10.9812,7.03145,6.20762,8.37011,7.72651
