radius,density_log_10,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0635,1.92042,5.85734,7.78765,3.38248,13.0191,13.3341,10.1111,13.5984,13.4406
0.064,1.91925,5.91431,7.8446,3.42895,12.9917,13.1238,9.99305,13.4398,13.258
0.0645,1.91806,5.97049,7.90011,3.47529,12.9606,12.9117,9.87308,13.2785,13.0733
0.065,1.91688,6.02624,7.95462,3.52169,12.9266,12.6991,9.75203,13.1157,12.8875
0.0655,1.91569,6.08165,8.00828,3.56823,12.8901,12.4862,9.6301,12.9518,12.7011
0.066,1.9145,6.13639,8.0607,3.6147,12.8504,12.2726,9.50682,12.7861,12.5133
0.0665,1.9133,6.19047,8.11186,3.66111,12.8076,12.0585,9.38243,12.6189,12.3245
0.067,1.91209,6.24409,8.16203,3.70757,12.7623,11.8445,9.25737,12.4508,12.1354
0.0675,1.91089,6.29699,8.21089,3.75393,12.7139,11.6302,9.13127,12.2813,11.9454
0.068,1.90967,6.34931,8.25861,3.80025,12.6629,11.4163,9.00453,12.1109,11.7551
0.0685,1.90845,6.40096,8.3051,3.8465,12.6092,11.2026,8.87717,11.9396,11.5645
0.069,1.90722,6.4518,8.35018,3.89258,12.5525,10.9892,8.74914,11.7676,11.3737
0.0695,1.90599,6.5024,8.3946,3.93884,12.4942,10.7772,8.62128,11.5957,11.1835
0.07,1.90475,6.55213,8.43753,3.98488,12.433,10.5656,8.49278,11.4229,10.9932
0.0705,1.90351,6.60095,8.4789,4.03068,12.3689,10.3545,8.36374,11.2494,10.8027
0.071,1.90227,6.64915,8.51914,4.07642,12.3027,10.1448,8.2347,11.076,10.6128
0.0715,1.90101,6.69668,8.55823,4.12205,12.2342,9.93622,8.10562,10.9025,10.4235
0.072,1.89975,6.74348,8.59602,4.16756,12.1636,9.72903,7.9766,10.729,10.2348
0.0725,1.8985,6.78965,8.63268,4.21298,12.0909,9.52342,7.84778,10.5558,10.0471
0.073,1.89723,6.83515,8.6682,4.25828,12.0163,9.31943,7.71919,10.383,9.86019
0.0735,1.89595,6.87975,8.70225,4.30332,11.9395,9.11698,7.59073,10.2103,9.67416
0.074,1.89468,6.92357,8.73496,4.34817,11.8606,8.91626,7.4626,10.0381,9.48919
0.0745,1.8934,6.9668,8.76662,4.39296,11.7802,8.7176,7.33502,9.86654,9.30555
0.075,1.89211,7.00918,8.79696,4.43752,11.6979,8.52084,7.20787,9.69563,9.12309
0.0755,1.89081,7.05053,8.8257,4.4817,11.6134,8.32587,7.08105,9.52514,8.94169
0.076,1.88953,7.0912,8.85328,4.52575,11.5275,8.13317,6.95491,9.35559,8.76186
0.0765,1.88822,7.13126,8.87988,4.56971,11.4402,7.94288,6.82965,9.18716,8.58372
0.077,1.88692,7.17052,8.90514,4.61343,11.3514,7.75488,6.70509,9.01972,8.40716
0.0775,1.88562,7.20886,8.92898,4.65685,11.261,7.56914,6.58122,8.85323,8.23213
0.078,1.8843,7.24629,8.95144,4.69995,11.1691,7.38571,6.45811,8.68775,8.05871
0.0785,1.88298,7.28287,8.97267,4.74278,11.0758,7.20474,6.33592,8.52346,7.88708
0.079,1.88166,7.31896,8.99298,4.78558,10.9817,7.02661,6.21493,8.36085,7.71764
0.0795,1.88034,7.35401,9.01177,4.82797,10.8862,6.85087,6.09476,8.1993,7.54987
0.08,1.87901,7.38813,9.02921,4.87001,10.7893,6.67764,5.97553,8.03899,7.38391
0.0805,1.87767,7.42155,9.04553,4.91186,10.6916,6.50719,5.85748,7.88029,7.22008
0.081,1.87634,7.45389,9.0603,4.95327,10.5926,6.33928,5.74037,7.72287,7.05811
0.0815,1.875,7.48562,9.07418,4.99453,10.493,6.17431,5.62463,7.56728,6.89846
0.082,1.87364,7.51657,9.08688,5.03553,10.3926,6.0121,5.51008,7.41329,6.74095
0.0825,1.87229,7.54621,9.09774,5.0759,10.2908,5.8523,5.3964,7.26046,6.58516
0.083,1.87095,7.57516,9.10761,5.11606,10.1885,5.69547,5.28411,7.10951,6.43174
