radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.077,7.17185,8.89303,4.63318,11.3344,7.73286,6.48378,9.06817,8.44329
0.0775,7.20976,8.91652,4.67607,11.2433,7.54732,6.36461,8.90167,8.26826
0.078,7.24722,8.93922,4.71896,11.1515,7.36464,6.24659,8.73672,8.09539
0.0785,7.28374,8.96048,4.76151,11.0582,7.18427,6.12927,8.57273,7.92405
0.079,7.31942,8.98045,4.80379,10.9635,7.00638,6.01278,8.40991,7.75448
0.0795,7.35427,8.99919,4.84579,10.8677,6.83109,5.89721,8.24841,7.58677
0.08,7.38809,9.01646,4.88738,10.7706,6.65828,5.78249,8.08807,7.42081
0.0805,7.42102,9.03241,4.92865,10.6723,6.48806,5.66873,7.92908,7.25677
0.081,7.4533,9.04732,4.96975,10.5733,6.32069,5.55613,7.77174,7.09492
0.0815,7.48497,9.06124,5.0107,10.4737,6.15624,5.44479,7.61613,6.93535
0.082,7.51559,9.07369,5.05121,10.3729,5.99437,5.3344,7.46183,6.77765
0.0825,7.54519,9.08475,5.09128,10.2711,5.83514,5.22502,7.30896,6.62193
0.083,7.574,9.09467,5.13107,10.1687,5.67876,5.11687,7.15781,6.46843
0.0835,7.60208,9.10348,5.17061,10.0657,5.52527,5.01002,7.00849,6.31722
0.084,7.62917,9.11094,5.20973,9.96203,5.37454,4.90434,6.86076,6.16816
0.0845,7.65552,9.1174,5.24859,9.85789,5.22667,4.79992,6.71485,6.02137
0.085,7.68085,9.12242,5.28697,9.75304,5.08153,4.69673,6.57064,5.8767
0.0855,7.70515,9.12603,5.32488,9.64755,4.93914,4.59477,6.4281,5.7342
0.086,7.72863,9.12855,5.36246,9.5417,4.79959,4.49412,6.28742,5.594
0.0865,7.75133,9.12997,5.39972,9.4356,4.66291,4.39486,6.14872,5.45614
0.087,7.77335,9.13044,5.43673,9.32947,4.52917,4.29709,6.01209,5.32071
0.0875,7.79439,9.12969,5.47329,9.22298,4.39819,4.20066,5.87731,5.18754
0.088,7.81439,9.12758,5.50933,9.11605,4.26989,4.10549,5.7443,5.05655
0.0885,7.83369,9.12451,5.54508,9.00918,4.14447,4.01182,5.61339,4.92796
0.089,7.85196,9.12006,5.58031,8.90204,4.02172,3.91949,5.48434,4.80159
0.0895,7.86929,9.11449,5.61508,8.79477,3.90168,3.82855,5.35724,4.67752
0.09,7.88579,9.10789,5.64946,8.68755,3.78438,3.73904,5.23214,4.55576
0.0905,7.9013,9.09995,5.68333,8.58021,3.66973,3.65088,5.10893,4.43622
