radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0735,6.87937,8.70077,4.30773,11.9359,9.12016,7.54771,10.2226,9.68791
0.074,6.92305,8.73328,4.35245,11.857,8.91957,7.42057,10.0505,9.50306
0.0745,6.96612,8.76477,4.39709,11.7765,8.72107,7.29404,9.87921,9.31959
0.075,7.00862,8.79527,4.44167,11.6946,8.52478,7.16818,9.70887,9.13762
0.0755,7.05,8.82404,4.48583,11.6104,8.3301,7.04248,9.53873,8.95652
0.076,7.09053,8.85144,4.52972,11.5244,8.13747,6.91732,9.36929,8.77673
0.0765,7.13043,8.8778,4.57353,11.4371,7.94726,6.79295,9.201,8.59864
0.077,7.16977,8.90318,4.61725,11.3486,7.75958,6.66956,9.03394,8.42241
0.0775,7.208,8.92694,4.66054,11.2582,7.57394,6.54666,8.86757,8.24746
0.078,7.24535,8.94937,4.70355,11.1664,7.39065,6.42454,8.70227,8.07415
0.0785,7.28199,8.97061,4.74637,11.0734,7.20995,6.30339,8.53831,7.90275
0.079,7.3178,8.99054,4.78892,10.9791,7.03174,6.18316,8.37558,7.73315
0.0795,7.35286,9.00937,4.83124,10.8837,6.8562,6.064,8.21422,7.56553
0.08,7.387,9.02682,4.87326,10.7871,6.68316,5.94573,8.05417,7.39973
0.0805,7.42027,9.04299,4.91493,10.6894,6.51276,5.8285,7.89551,7.23588
0.081,7.45267,9.05789,4.95631,10.5906,6.34503,5.71236,7.73828,7.07404
0.0815,7.48425,9.07154,4.99741,10.491,6.18004,5.59734,7.58258,6.9143
0.082,7.51508,9.08406,5.03825,10.3906,6.01789,5.48357,7.42858,6.75675
0.0825,7.54506,9.09538,5.0788,10.2894,5.85848,5.37097,7.27618,6.60132
0.083,7.574,9.10525,5.11888,10.1873,5.70171,5.25946,7.12523,6.4479
0.0835,7.60206,9.11388,5.15862,10.0844,5.54777,5.14922,6.97602,6.2967
0.084,7.62941,9.12144,5.19812,9.98105,5.39672,5.04034,6.82864,6.1478
0.0845,7.65571,9.12759,5.23716,9.87688,5.24835,4.93263,6.6828,6.00099
0.085,7.68128,9.13268,5.27593,9.77239,5.10292,4.82634,6.53891,5.85656
0.0855,7.70598,9.13659,5.31433,9.66743,4.96031,4.7214,6.39689,5.71439
0.086,7.7297,9.13919,5.35229,9.56191,4.82046,4.61777,6.25665,5.57443
0.0865,7.75246,9.14049,5.38981,9.45592,4.68338,4.51548,6.11818,5.43671
0.087,7.77429,9.14057,5.42691,9.34955,4.54907,4.41458,5.9816,5.30126
0.0875,7.79539,9.13965,5.46373,9.24311,4.41764,4.3152,5.84706,5.16823
0.088,7.81582,9.13778,5.50028,9.1367,4.28914,4.21733,5.71459,5.03763
0.0885,7.83496,9.13434,5.53615,9.02967,4.1632,4.12074,5.58384,4.90909
0.089,7.85312,9.12962,5.57153,8.92241,4.03998,4.02557,5.45501,4.78284
0.0895,7.87072,9.12409,5.60672,8.81542,3.91966,3.932,5.32834,4.65908
0.09,7.88745,9.11749,5.64149,8.70842,3.80205,3.8399,5.20368,4.53762
0.0905,7.90307,9.10952,5.67564,8.6012,3.68704,3.74918,5.08087,4.41835
0.091,7.91799,9.10065,5.70951,8.49424,3.57479,3.66001,4.96017,4.30146
0.0915,7.93213,9.0908,5.74301,8.38747,3.46523,3.57236,4.84152,4.1869
0.092,7.94526,9.07974,5.77594,8.2807,3.35821,3.48611,4.72477,4.07455
0.0925,7.95757,9.06764,5.80847,8.17415,3.25382,3.40136,4.61004,3.96449
0.093,7.96889,9.05433,5.84046,8.06773,3.15195,3.31804,4.49725,3.85663
0.0935,7.97923,9.03986,5.87191,7.96148,3.05259,3.23614,4.38639,3.75096
0.094,7.98889,9.02459,5.90302,7.85567,2.95577,3.15578,4.2776,3.64757
0.0945,7.9978,9.00843,5.93374,7.7503,2.86146,3.07692,4.17085,3.54643
0.095,8.00572,8.99108,5.96389,7.64521,2.76952,2.99947,4.066,3.44741
0.0955,8.01246,8.97239,5.9933,7.54019,2.67988,2.92334,3.96296,3.35042
0.096,8.01845,8.95287,6.02232,7.43569,2.59264,2.8487,3.86191,3.2556
0.0965,8.02397,8.9328,6.05113,7.33203,2.50783,2.77562,3.76299,3.16306
0.097,8.02851,8.91158,6.07936,7.22874,2.42526,2.70393,3.66594,3.07258
0.0975,8.03212,8.88937,6.10702,7.12587,2.34491,2.63361,3.57075,2.9841
0.098,8.03486,8.8662,6.13414,7.02352,2.26675,2.56469,3.47745,2.89764
0.0985,8.03678,8.84213,6.16077,6.92179,2.19079,2.49718,3.38605,2.81323
0.099,8.03797,8.81725,6.18697,6.82073,2.11695,2.43106,3.29655,2.73084
0.0995,8.03813,8.79126,6.2125,6.72011,2.04516,2.36626,3.20883,2.65033
0.1,8.03751,8.76443,6.23756,6.62012,1.97539,2.30279,3.12291,2.57173
0.1005,8.0362,8.7369,6.26218,6.52097,1.9077,2.24074,3.0389,2.49514
0.101,8.03408,8.70855,6.28626,6.42262,1.84204,2.18007,2.95678,2.42048
0.1015,8.03126,8.67942,6.30993,6.32484,1.7782,2.12063,2.8763,2.34756
0.102,8.02744,8.64926,6.33292,6.22766,1.71621,2.06243,2.79753,2.27641
0.1025,8.02275,8.61827,6.35529,6.13134,1.65614,2.00559,2.72058,2.20714
0.103,8.01739,8.58661,6.37723,6.03583,1.59788,1.95002,2.64535,2.13963
0.1035,8.01118,8.55406,6.39861,5.94088,1.54129,1.89561,2.57168,2.07374
0.104,8.00443,8.52104,6.4196,5.84704,1.48654,1.84255,2.49986,2.0097
0.1045,7.99679,8.48714,6.43994,5.754,1.43349,1.79071,2.42968,1.94733
0.105,7.98856,8.45269,6.45991,5.66183,1.38207,1.74006,2.36111,1.88659
0.1055,7.97966,8.41762,6.47939,5.57056,1.33226,1.69061,2.29416,1.82748
0.106,7.96956,8.38134,6.49796,5.47981,1.28395,1.6422,2.22863,1.76984
0.1065,7.95882,8.34448,6.51612,5.38986,1.23711,1.59491,2.1646,1.71369
0.107,7.94745,8.30708,6.5338,5.30093,1.19183,1.54879,2.10217,1.65914
0.1075,7.93537,8.26907,6.55093,5.21301,1.14804,1.50383,2.0413,1.60612
0.108,7.92277,8.2306,6.56767,5.12605,1.10567,1.45996,1.98191,1.55457
0.1085,7.90951,8.19155,6.58392,5.04001,1.06469,1.41718,1.92399,1.50446
0.109,7.89525,8.15159,6.59934,4.95471,1.02503,1.37541,1.86744,1.45571
0.1095,7.88021,8.11097,6.61416,4.87029,0.986668,1.33467,1.81228,1.40831
0.11,7.86472,8.07002,6.62865,4.78698,0.949622,1.295,1.75857,1.36231
0.1105,7.84872,8.02865,6.64268,4.70467,0.913824,1.25635,1.70624,1.31763
0.111,7.83188,7.98654,6.65607,4.6231,0.879168,1.21861,1.65516,1.27415
0.1115,7.8142,7.94375,6.66875,4.54245,0.845708,1.18185,1.60539,1.23194
0.112,7.79608,7.90065,6.68105,4.46285,0.8134,1.14607,1.55695,1.19098
0.1125,7.77731,7.85703,6.6928,4.38419,0.782196,1.11122,1.50976,1.15122
