E_nu_MeV,E_e_MeV,p_e_MeV,dsigma_dpe_cm2_per_MeV
1.5,0.549335060367175,0.201615869930279,1.46633300376e-47
1.5,0.549497274427285,0.20205743010874402,1.43909702153596e-47
1.5,0.5496597953354471,0.202498990287212,1.41188015427277e-47
1.5,0.5497545218493219,0.20275597340870602,1.39605181892428e-47
1.5,0.549917527631894,0.203197533587172,1.36887958796745e-47
1.5,0.550080839559565,0.20363909376564002,1.34174484491027e-47
1.5,0.550176026114215,0.203896076887135,1.32597287701859e-47
1.5,0.550339821803237,0.204337637065602,1.29891242367169e-47
1.5,0.550503922933152,0.204779197244068,1.27190857258014e-47
1.5,0.550599568470376,0.205036180365562,1.25622169483702e-47
1.5,0.550764152246626,0.20547774054403,1.22932295414786e-47
1.5,0.550929040758342,0.205919300722497,1.2025006631074e-47
1.5,0.551025144218105,0.206176283843992,1.186928699066e-47
1.5,0.5511905142592289,0.206617844022457,1.16024348796507e-47
1.5,0.551356188329203,0.20705940420092703,1.13365529148501e-47
1.5,0.551452748649678,0.207316387322421,1.1182291430799301e-47
1.5,0.551618903130274,0.207757947500888,1.09181111490205e-47
1.5,0.5517853609319391,0.20819950767935402,1.06551136150583e-47
1.5,0.551882377049557,0.20845649080084902,1.05026297464207e-47
1.5,0.552049314141247,0.20889805097931502,1.02416755422041e-47
1.5,0.552216553845098,0.20933961115778202,9.98212332168582e-48
1.5,0.55231402469459,0.20959659427927602,9.831746488708169e-48
1.5,0.552481742566105,0.21003815445774401,9.574589426554678e-48
1.5,0.552649762339771,0.21047971463620999,9.31905979528026e-48
1.5,0.552747686854217,0.210736697757706,9.17112875164168e-48
1.5,0.552916183671469,0.211178257936173,8.91835552782172e-48
1.5,0.553084981679794,0.21161981811464,8.667440847004141e-48
1.5,0.5531833587906639,0.211876801236133,8.52230284929762e-48
1.5,0.553352632716829,0.21231836141460103,8.27451426694229e-48
1.5,0.553522207121948,0.212759921593067,8.02882031254358e-48
1.5,0.553621035759153,0.21301690471456103,7.886830082692321e-48
1.5,0.553791084954745,0.21345846489303,7.6446391365776e-48
1.5,0.553961433916163,0.21390002507149602,7.404783012459169e-48
1.5,0.554060713008094,0.21415700819299102,7.26630143771182e-48
1.5,0.5542315356310431,0.21459856837145802,7.03033093149138e-48
1.5,0.55440265730571,0.215040128549924,6.796938489600579e-48
1.5,0.554502385779286,0.21529711167141802,6.66233102668306e-48
1.5,0.554673979985016,0.21573867184988701,6.43321065503378e-48
1.5,0.554845872527405,0.21618023202835301,6.2069133430375e-48
1.5,0.554946049308116,0.216437215149847,6.07654806945319e-48
1.5,0.5551184132496191,0.216878775328315,5.8549108718147e-48
1.5,0.5552910748118011,0.217320335506782,5.63634192046997e-48
1.5,0.555391698823754,0.217577318628277,5.510587188534359e-48
1.5,0.555564830651666,0.21801887880674303,5.29706527815563e-48
1.5,0.5557382593833861,0.21846043898521003,5.08685512054989e-48
1.5,0.555839329549347,0.21871742210670503,4.96607673938931e-48
1.5,0.5560132274120261,0.21915898228517203,4.76129619824273e-48
1.5,0.556187421460778,0.219600542463638,4.5600670072910895e-48
1.5,0.556288936702216,0.219857525585133,4.44462489458973e-48
1.5,0.5564635987458141,0.22029908576359902,4.24919970867377e-48
1.5,0.556638556256918,0.220740645942068,4.057558926699e-48
1.5,0.55674051549405,0.22099762906356202,3.9478031458277e-48
1.5,0.55691593986259,0.22143918924202902,3.76232804604003e-48
1.5,0.557091658979261,0.221880749420495,3.58086076582712e-48
1.5,0.557194061131094,0.22213773254198999,3.47712687023405e-48
1.5,0.557370245966542,0.22257929272045698,3.30216893908443e-48
1.5,0.557546724829972,0.22302085289892404,3.13142898767985e-48
1.5,0.557649568814346,0.22327783602041903,3.03403258550335e-48
1.5,0.557826512256686,0.223719396198885,2.8701214748218e-48
1.5,0.55800374900611,0.224160956377352,2.71062105453907e-48
1.5,0.558107033739741,0.22441793949884603,2.6198515036569798e-48
1.5,0.55828473392705,0.224859499677314,2.46746811521687e-48
