pull_index,E_MeV,f
1,3.638,1.004738485796484
1,3.662,1.005062565733595
1,3.686,1.005381783460476
1,3.71,1.0056962962853464
1,3.734,1.00600615389655
1,3.758,1.0063114384161127
1,3.782,1.0066123057494167
1,3.806,1.0069087234060394
1,3.83,1.0072039012039435
1,3.854,1.0075008641898842
1,3.878,1.0077935374555549
1,3.902,1.008082065093006
1,3.926,1.008366504468134
1,3.95,1.0086469879182474
1,3.974,1.0089235466026318
1,3.998,1.0091962306008362
1,4.022,1.009465118519706
1,4.046,1.0097225925697126
1,4.07,1.0099765516903223
1,4.094,1.0102269901573508
1,4.118,1.010474060628224
1,4.142,1.0107177468619626
1,4.166,1.0109581233738167
1,4.19,1.0111953010220958
1,4.214,1.01142931705779
1,4.238,1.0116596428160822
1,4.262,1.0118867159702358
1,4.286,1.0121107232242583
1,4.31,1.012331816783833
1,4.334,1.0125500256959996
1,4.358,1.0127653601732889
1,4.382,1.0129779590958854
1,4.406,1.013187771195179
1,4.43,1.01339207447667
1,4.454,1.0135880696569295
1,4.478,1.0137815891318116
1,4.502,1.013972610825587
1,4.526,1.014161243716593
1,4.55,1.0143474570305846
1,4.574,1.014531324619247
1,4.598,1.0147128981269955
1,4.622,1.0148921569168017
1,4.646,1.0150873109959837
1,4.67,1.0152800760797185
1,4.694,1.0154704935706
1,4.718,1.0156586016000018
1,4.742,1.0158444354230478
1,4.766,1.0160280360170737
1,4.79,1.0162094328872555
1,4.814,1.0163886696265931
1,4.838,1.0165629619340226
1,4.862,1.0167337950610773
1,4.886,1.016902587181589
1,4.91,1.0170693629961354
1,4.934,1.0172342170953186
1,4.958,1.0173971052463042
1,4.982,1.0175581226046146
1,5.006,1.0177172770879828
1,5.03,1.0178737655575296
1,5.054,1.0180269335599834
1,5.078,1.018178295022942
1,5.102,1.0183279626942072
1,5.126,1.0184758829344902
1,5.15,1.0186221642794155
1,5.174,1.0187667672397067
1,5.198,1.0189097504650928
1,5.222,1.0190510979523406
1,5.246,1.019190909034472
1,5.27,1.0193291350871243
1,5.294,1.0194658498950502
1,5.318,1.0196010243767262
1,5.342,1.0197347356015576
1,5.366,1.019866942529311
1,5.39,1.0199977543455931
1,5.414,1.0201271041228217
1,5.438,1.0202550597432407
1,5.462,1.0203816039405589
1,5.486,1.020506821245606
1,5.51,1.020630666859462
1,5.534,1.0207496741234408
1,5.558,1.0208638578525324
1,5.582,1.0209768727777708
1,5.606,1.021088629535723
1,5.63,1.0211991960219866
1,5.654,1.0213085906881425
1,5.678,1.0214168636591332
1,5.702,1.021523966315906
1,5.726,1.0216299363179016
1,5.75,1.0217347937891457
1,5.774,1.0218385903885712
1,5.798,1.0219412930840948
1,5.822,1.022042916892661
1,5.846,1.0221434862169292
1,5.87,1.0222430438844177
1,5.894,1.0223415861009355
1,5.918,1.0224390962466516
1,5.942,1.0225356084712844
1,5.966,1.0226311529861485
1,5.99,1.022725757073763
1,6.014,1.022819370469244
1,6.038,1.0229145143474336
1,6.062,1.0230098926247169
1,6.086,1.0231043776094062
1,6.11,1.0231979136992102
1,6.134,1.0232905242587955
1,6.158,1.0233822556304013
1,6.182,1.02347304957207
1,6.206,1.0235630052042166
1,6.23,1.02365207486228
1,6.254,1.0237402735185157
1,6.278,1.0238276546564684
1,6.302,1.0239141950487034
1,6.326,1.0239998677498403
1,6.35,1.0240847667185204
1,6.374,1.02416883626337
1,6.398,1.0242521178157389
1,6.422,1.0243346338308756
1,6.446,1.0244163298726048
1,6.47,1.024497305624483
1,6.494,1.0245774992908403
1,6.518,1.024656956010064
1,6.542,1.0247363407387098
1,6.566,1.0248150787475747
1,6.59,1.0248931367117338
1,6.614,1.024970478525583
1,6.638,1.0250470816312336
1,6.662,1.025123011221158
1,6.686,1.0251982625297993
1,6.71,1.0252728143192036
1,6.734,1.0253466884395122
1,6.758,1.0254199210889785
1,6.782,1.0254925005808024
1,6.806,1.0255643886454775
1,6.83,1.0256356803321107
1,6.854,1.0257063382675806
1,6.878,1.025776340159234
1,6.902,1.0258457487938453
1,6.926,1.0259145567253023
1,6.95,1.0259827456865929
1,6.974,1.0260503316867633
1,6.998,1.0261173541278856
1,7.022,1.0261837549577293
1,7.046,1.026247069169803
1,7.07,1.0263098095963357
1,7.094,1.0263720168277828
1,7.118,1.0264336629668456
1,7.142,1.0264948207408475
1,7.166,1.0265554216767316
1,7.19,1.0266155310450948
1,7.214,1.0266750955797224
1,7.238,1.026734188201451
1,7.262,1.026792756322896
1,7.286,1.0268508634347109
1,7.31,1.0269084427273911
1,7.334,1.0269655640273505
1,7.358,1.0270222001871072
1,7.382,1.0270783886675308
1,7.406,1.0271340728405676
1,7.43,1.027189311977739
1,7.454,1.0272441036119924
1,7.478,1.0272984222702644
1,7.502,1.027352334250777
1,7.526,1.0274057755536758
1,7.55,1.0274588053694798
1,7.574,1.027511374231703
1,7.598,1.0275635490600172
1,7.622,1.0276152797547693
1,7.646,1.027666626030496
1,7.67,1.0277175225580857
1,7.694,1.0277680363974078
1,7.718,1.0278181395538049
1,7.742,1.0278678683606028
1,7.766,1.0279171666712053
1,7.79,1.0279660916973214
1,7.814,1.028014638887476
1,7.838,1.0280627847420103
1,7.862,1.028110590257376
1,7.886,1.0281579952569926
1,7.91,1.0282050539418066
