isotope,E_MeV,C
Pu241,3.3,0.0019218363376993
Pu241,3.31,0.0018634362858254
Pu241,3.32,0.0018063318376345
Pu241,3.33,0.0017505229931266
Pu241,3.34,0.0016960097523018
Pu241,3.35,0.0016427921151601
Pu241,3.36,0.0015908700817014
Pu241,3.37,0.0015402436519258
Pu241,3.38,0.0014909128258332
Pu241,3.39,0.0014428776034236
Pu241,3.4,0.0013961379846971
Pu241,3.41,0.0013506939696537
Pu241,3.42,0.0013065455582933
Pu241,3.43,0.0012636927506159
Pu241,3.44,0.0012221355466217
Pu241,3.45,0.0011818739463104
Pu241,3.46,0.0011429079496822
Pu241,3.47,0.0011052375567371
Pu241,3.48,0.001068862767475
Pu241,3.49,0.0010337835818959
Pu241,3.5,0.0009999999999999
Pu241,3.51,0.000967512021787
Pu241,3.52,0.0009363196472571
Pu241,3.53,0.0009064228764103
Pu241,3.54,0.0008778217092465
Pu241,3.55,0.0008505161457657
Pu241,3.56,0.000824506185968
Pu241,3.57,0.0007997918298534
Pu241,3.58,0.0007763730774218
Pu241,3.59,0.0007542499286733
Pu241,3.6,0.0007334223836078
Pu241,3.61,0.0007138904422253
Pu241,3.62,0.0006956541045259
Pu241,3.63,0.0006787133705096
Pu241,3.64,0.0006630682401763
Pu241,3.65,0.0006487187135261
Pu241,3.66,0.0006356647905589
Pu241,3.67,0.0006239064712748
Pu241,3.68,0.0006134437556737
Pu241,3.69,0.0006042766437556
Pu241,3.7,0.0005964051355206
Pu241,3.71,0.0005898292309687
Pu241,3.72,0.0005845489300998
Pu241,3.73,0.000580564232914
Pu241,3.74,0.0005778751394112
Pu241,3.75,0.0005764816495914
Pu241,3.76,0.000575643418493
Pu241,3.77,0.0005746201011541
Pu241,3.78,0.0005734116975748
Pu241,3.79,0.0005720182077551
Pu241,3.8,0.0005704396316949
Pu241,3.81,0.0005686759693943
Pu241,3.82,0.0005667272208533
Pu241,3.83,0.0005645933860718
Pu241,3.84,0.0005622744650499
Pu241,3.85,0.0005597704577875
Pu241,3.86,0.0005570813642847
Pu241,3.87,0.0005542071845415
Pu241,3.88,0.0005511479185579
Pu241,3.89,0.0005479035663338
Pu241,3.9,0.0005444741278692
Pu241,3.91,0.0005408596031643
Pu241,3.92,0.0005370599922189
Pu241,3.93,0.000533075295033
Pu241,3.94,0.0005289055116067
Pu241,3.95,0.00052455064194
Pu241,3.96,0.0005200106860329
Pu241,3.97,0.0005152856438853
Pu241,3.98,0.0005103755154973
Pu241,3.99,0.0005052803008688
Pu241,4.0,0.0004999999999999
Pu241,4.01,0.0004945346128906
Pu241,4.02,0.0004888841395409
Pu241,4.03,0.0004830485799507
Pu241,4.04,0.00047702793412
Pu241,4.05,0.000470822202049
Pu241,4.06,0.0004644313837375
Pu241,4.07,0.0004578554791855
Pu241,4.08,0.0004510944883932
Pu241,4.09,0.0004441484113603
Pu241,4.1,0.0004370172480871
Pu241,4.11,0.0004297009985734
Pu241,4.12,0.0004221996628193
Pu241,4.13,0.0004145132408247
Pu241,4.14,0.0004066417325898
Pu241,4.15,0.0003985851381143
Pu241,4.16,0.0003903434573985
Pu241,4.17,0.0003819166904422
Pu241,4.18,0.0003733048372454
Pu241,4.19,0.0003645078978083
Pu241,4.2,0.0003555258721307
Pu241,4.21,0.0003463587602126
Pu241,4.22,0.0003370065620542
Pu241,4.23,0.0003274692776552
Pu241,4.24,0.0003177469070159
Pu241,4.25,0.0003078394501361
Pu241,4.26,0.0002977469070159
Pu241,4.27,0.0002874692776552
Pu241,4.28,0.0002770065620542
Pu241,4.29,0.0002663587602126
Pu241,4.3,0.0002555258721307
Pu241,4.31,0.0002445078978083
Pu241,4.32,0.0002333048372454
Pu241,4.33,0.0002219166904422
Pu241,4.34,0.0002103434573985
Pu241,4.35,0.0001985851381143
Pu241,4.36,0.0001866417325898
Pu241,4.37,0.0001745132408247
Pu241,4.38,0.0001621996628193
Pu241,4.39,0.0001497009985734
Pu241,4.4,0.0001370172480871
Pu241,4.41,0.0001241484113603
Pu241,4.42,0.0001110944883932
Pu241,4.43,9.785547918557588e-05
Pu241,4.44,8.44313837375149e-05
Pu241,4.45,7.08222020490182e-05
Pu241,4.46,5.702793412008453e-05
Pu241,4.47,4.3048579950716335e-05
Pu241,4.48,2.8884139540912435e-05
Pu241,4.49,1.4534612890672784e-05
