reactor,E_MeV,C
R4,3.0,0.0035599999999999
R4,3.01,0.0034825490943618
R4,3.02,0.0034159110340766
R4,3.03,0.0033591733926379
R4,3.04,0.0033114237435392
R4,3.05,0.003271749660274
R4,3.06,0.0032392387163358
R4,3.07,0.003212978485218
R4,3.08,0.0031920565404143
R4,3.09,0.0031755604554181
R4,3.1,0.0031625778037229
R4,3.11,0.0031521961588223
R4,3.12,0.0031435030942096
R4,3.13,0.0031355861833785
R4,3.14,0.0031275329998224
R4,3.15,0.0031184311170348
R4,3.16,0.0031073681085093
R4,3.17,0.0030934315477394
R4,3.18,0.0030757090082185
R4,3.19,0.0030532880634401
R4,3.2,0.0030252562868978
R4,3.21,0.0029907012520851
R4,3.22,0.0029487105324954
R4,3.23,0.0028983717016224
R4,3.24,0.0028387723329594
R4,3.25,0.0027689999999999
R4,3.26,0.0026908942290236
R4,3.27,0.0026072588393125
R4,3.28,0.0025186278438645
R4,3.29,0.0024255352556774
R4,3.3,0.0023285150877488
R4,3.31,0.0022281013530765
R4,3.32,0.0021248280646582
R4,3.33,0.0020192292354918
R4,3.34,0.0019118388785748
R4,3.35,0.0018031910069052
R4,3.36,0.0016938196334806
R4,3.37,0.0015842587712987
R4,3.38,0.0014750424333574
R4,3.39,0.0013667046326543
R4,3.4,0.0012597793821872
R4,3.41,0.0011548006949538
R4,3.42,0.001052302583952
R4,3.43,0.0009528190621794
R4,3.44,0.0008568841426337
R4,3.45,0.0007650318383128
R4,3.46,0.0006777961622143
R4,3.47,0.000595711127336
R4,3.48,0.0005193107466757
R4,3.49,0.0004491290332311
R4,3.5,0.0003856999999999
R4,3.51,0.0003277805605373
R4,3.52,0.0002737425950371
R4,3.53,0.0002235425664547
R4,3.54,0.0001771369377458
R4,3.55,0.0001344821718659
R4,3.56,9.553473177087329e-05
R4,3.57,6.0251080416039065e-05
R4,3.58,2.8587680757090956e-05
R4,3.59,5.009957496281847e-07
R4,3.6,0.0
R4,3.61,0.0
R4,3.62,0.0
R4,3.63,0.0
R4,3.64,0.0
R4,3.65,0.0
R4,3.66,0.0
R4,3.67,0.0
R4,3.68,0.0
R4,3.69,0.0
R4,3.7,0.0
R4,3.71,0.0
R4,3.72,0.0
R4,3.73,0.0
R4,3.74,0.0
R4,3.75,0.0
R5,1.75,0.01265
R5,1.76,0.0127284401819242
R5,1.77,0.012804428697376
R5,1.78,0.0128777675008746
R5,1.79,0.0129482585469387
R5,1.8,0.0130157037900874
R5,1.81,0.0130799051848396
R5,1.82,0.0131406646857142
R5,1.83,0.0131977842472303
R5,1.84,0.0132510658239067
R5,1.85,0.0133003113702623
R5,1.86,0.0133453228408163
R5,1.87,0.0133859021900874
R5,1.88,0.0134218513725947
R5,1.89,0.0134529723428571
R5,1.9,0.0134790670553935
R5,1.91,0.013499937464723
R5,1.92,0.0135153855253644
R5,1.93,0.0135252131918367
R5,1.94,0.0135292224186588
R5,1.95,0.0135272151603498
R5,1.96,0.0135189933714285
R5,1.97,0.0135043590064139
R5,1.98,0.013483114019825
R5,1.99,0.0134550603661807
R5,2.0,0.01342
R5,2.01,0.0133780322277918
R5,2.02,0.0133297569237365
R5,2.03,0.0132757268938599
R5,2.04,0.0132164949441878
R5,2.05,0.013152613880746
R5,2.06,0.0130846365095602
R5,2.07,0.0130131156366564
R5,2.08,0.0129386040680602
R5,2.09,0.0128616546097975
R5,2.1,0.012782820067894
R5,2.11,0.0127026532483757
R5,2.12,0.0126217069572682
R5,2.13,0.0125405340005974
R5,2.14,0.0124596871843891
R5,2.15,0.0123797193146691
R5,2.16,0.0123011831974631
R5,2.17,0.012224631638797
R5,2.18,0.0121506174446966
R5,2.19,0.0120796934211877
R5,2.2,0.012012412374296
R5,2.21,0.0119493271100475
R5,2.22,0.0118909904344678
R5,2.23,0.0118379551535828
R5,2.24,0.0117907740734182
R5,2.25,0.0117499999999999
R5,2.26,0.0117136615173805
R5,2.27,0.0116793119444794
R5,2.28,0.0116467911896226
R5,2.29,0.0116159391611362
R5,2.3,0.0115865957673464
R5,2.31,0.0115586009165792
R5,2.32,0.0115317945171608
R5,2.33,0.0115060164774171
R5,2.34,0.0114811067056743
R5,2.35,0.0114569051102585
R5,2.36,0.0114332515994958
R5,2.37,0.0114099860817122
R5,2.38,0.0113869484652339
R5,2.39,0.0113639786583869
R5,2.4,0.0113409165694974
R5,2.41,0.0113176021068913
R5,2.42,0.0112938751788949
R5,2.43,0.0112695756938342
R5,2.44,0.0112445435600352
R5,2.45,0.0112186186858242
R5,2.46,0.011191640979527
R5,2.47,0.01116345034947
R5,2.48,0.011133886703979
R5,2.49,0.0111027899513803
R5,2.5,0.0110699999999999
R5,2.51,0.011035120934985
R5,2.52,0.010997879693755
R5,2.53,0.0109583004630447
R5,2.54,0.0109164074295888
R5,2.55,0.0108722247801221
R5,2.56,0.0108257767013793
R5,2.57,0.0107770873800951
R5,2.58,0.0107261810030043
R5,2.59,0.0106730817568415
R5,2.6,0.0106178138283416
R5,2.61,0.0105604014042392
R5,2.62,0.0105008686712692
R5,2.63,0.0104392398161661
R5,2.64,0.0103755390256648
R5,2.65,0.0103097904865
R5,2.66,0.0102420183854064
