reactor,E_MeV,C
R4,2.1,0.0124944371884079
R4,2.11,0.0123507422558368
R4,2.12,0.0122060735306862
R4,2.13,0.0120616029580571
R4,2.14,0.0119185024830508
R4,2.15,0.0117779440507683
R4,2.16,0.0116410996063108
R4,2.17,0.0115091410947793
R4,2.18,0.011383240461275
R4,2.19,0.011264569650899
R4,2.2,0.0111543006087525
R4,2.21,0.0110536052799364
R4,2.22,0.010963655609552
R4,2.23,0.0108856235427004
R4,2.24,0.0108206810244827
R4,2.25,0.0107699999999999
R4,2.26,0.0107282490299363
R4,2.27,0.0106891709992395
R4,2.28,0.0106525493394057
R4,2.29,0.0106181674819314
R4,2.3,0.0105858088583128
R4,2.31,0.0105552569000462
R4,2.32,0.0105262950386281
R4,2.33,0.0104987067055547
R4,2.34,0.0104722753323224
R4,2.35,0.0104467843504276
R4,2.36,0.0104220171913664
R4,2.37,0.0103977572866354
R4,2.38,0.0103737880677307
R4,2.39,0.0103498929661488
R4,2.4,0.010325855413386
R4,2.41,0.0103014588409385
R4,2.42,0.0102764866803028
R4,2.43,0.0102507223629752
R4,2.44,0.010223949320452
R4,2.45,0.0101959509842295
R4,2.46,0.0101665107858042
R4,2.47,0.0101354121566722
R4,2.48,0.0101024385283299
R4,2.49,0.0100673733322737
R4,2.5,0.0100299999999999
R4,2.51,0.0099908752877407
R4,2.52,0.0099506814483925
R4,2.53,0.0099093901584478
R4,2.54,0.0098669730943995
R4,2.55,0.0098234019327403
R4,2.56,0.0097786483499627
R4,2.57,0.0097326840225596
R4,2.58,0.0096854806270236
R4,2.59,0.0096370098398474
R4,2.6,0.0095872433375238
R4,2.61,0.0095361527965453
R4,2.62,0.0094837098934046
R4,2.63,0.0094298863045946
R4,2.64,0.0093746537066078
R4,2.65,0.0093179837759371
R4,2.66,0.0092598481890749
R4,2.67,0.0092002186225141
R4,2.68,0.0091390667527474
R4,2.69,0.0090763642562674
R4,2.7,0.0090120828095669
R4,2.71,0.0089461940891385
R4,2.72,0.0088786697714749
R4,2.73,0.0088094815330688
R4,2.74,0.0087386010504129
R4,2.75,0.0086659999999999
R4,2.76,0.008577627501802
R4,2.77,0.0084610633837554
R4,2.78,0.008318725384299
R4,2.79,0.0081530312418718
R4,2.8,0.0079663986949127
R4,2.81,0.0077612454818607
R4,2.82,0.0075399893411547
R4,2.83,0.0073050480112336
R4,2.84,0.0070588392305364
R4,2.85,0.006803780737502
R4,2.86,0.0065422902705694
R4,2.87,0.0062767855681774
R4,2.88,0.0060096843687651
R4,2.89,0.0057434044107713
R4,2.9,0.0054803634326349
R4,2.91,0.0052229791727951
R4,2.92,0.0049736693696906
R4,2.93,0.0047348517617603
R4,2.94,0.0045089440874433
R4,2.95,0.0042983640851786
R4,2.96,0.0041055294934049
R4,2.97,0.0039328580505612
R4,2.98,0.0037827674950866
R4,2.99,0.0036576755654198
