 Energy(MeV)      pp            B8           N13           O15    
 0.40200E+01   0.22161E-01   0.15566E-01   0.15652E-01   0.15570E-01 
 0.40400E+01   0.22399E-01   0.15900E-01   0.15985E-01   0.15904E-01 
 0.40600E+01   0.22634E-01   0.16230E-01   0.16313E-01   0.16233E-01 
 0.40800E+01   0.22867E-01   0.16555E-01   0.16637E-01   0.16559E-01 
 0.41000E+01   0.23096E-01   0.16876E-01   0.16955E-01   0.16879E-01 
 0.41200E+01   0.23322E-01   0.17190E-01   0.17269E-01   0.17194E-01 
 0.41400E+01   0.23544E-01   0.17499E-01   0.17576E-01   0.17502E-01 
 0.41600E+01   0.23760E-01   0.17801E-01   0.17877E-01   0.17804E-01 
 0.41800E+01   0.23971E-01   0.18097E-01   0.18171E-01   0.18100E-01 
 0.42000E+01   0.24176E-01   0.18384E-01   0.18457E-01   0.18387E-01 
 0.42200E+01   0.24374E-01   0.18664E-01   0.18735E-01   0.18667E-01 
 0.42400E+01   0.24566E-01   0.18935E-01   0.19005E-01   0.18938E-01 
 0.42600E+01   0.24749E-01   0.19197E-01   0.19266E-01   0.19200E-01 
 0.42800E+01   0.24939E-01   0.19463E-01   0.19530E-01   0.19465E-01 
 0.43000E+01   0.25141E-01   0.19740E-01   0.19806E-01   0.19743E-01 
 0.43200E+01   0.25357E-01   0.20029E-01   0.20095E-01   0.20032E-01 
 0.43400E+01   0.25586E-01   0.20331E-01   0.20395E-01   0.20334E-01 
 0.43600E+01   0.25830E-01   0.20646E-01   0.20709E-01   0.20649E-01 
 0.43800E+01   0.26088E-01   0.20974E-01   0.21037E-01   0.20977E-01 
 0.44000E+01   0.26361E-01   0.21317E-01   0.21378E-01   0.21319E-01 
 0.44200E+01   0.26650E-01   0.21674E-01   0.21734E-01   0.21676E-01 
 0.44400E+01   0.26955E-01   0.22046E-01   0.22105E-01   0.22048E-01 
 0.44600E+01   0.27277E-01   0.22433E-01   0.22491E-01   0.22435E-01 
 0.44800E+01   0.27615E-01   0.22836E-01   0.22893E-01   0.22838E-01 
 0.45000E+01   0.27971E-01   0.23256E-01   0.23312E-01   0.23258E-01 
 0.45200E+01   0.28345E-01   0.23693E-01   0.23748E-01   0.23695E-01 
 0.45400E+01   0.28737E-01   0.24147E-01   0.24202E-01   0.24149E-01 
 0.45600E+01   0.29148E-01   0.24620E-01   0.24673E-01   0.24622E-01 
 0.45800E+01   0.29578E-01   0.25110E-01   0.25163E-01   0.25112E-01 
 0.46000E+01   0.30012E-01   0.25603E-01   0.25655E-01   0.25605E-01 
 0.46200E+01   0.30443E-01   0.26091E-01   0.26142E-01   0.26093E-01 
 0.46400E+01   0.30869E-01   0.26575E-01   0.26625E-01   0.26577E-01 
 0.46600E+01   0.31292E-01   0.27053E-01   0.27102E-01   0.27055E-01 
 0.46800E+01   0.31710E-01   0.27525E-01   0.27574E-01   0.27527E-01 
 0.47000E+01   0.32122E-01   0.27992E-01   0.28040E-01   0.27994E-01 
 0.47200E+01   0.32529E-01   0.28452E-01   0.28499E-01   0.28453E-01 
