energy_GeV,cos_zenith,azimuth_deg,particle,flux
0.56234,0.95,45.0,nue,267.31
0.56234,0.95,45.0,nuebar,222.89
0.63096,0.95,45.0,numu,435.78
0.63096,0.95,45.0,numubar,418.0
0.63096,0.95,45.0,nue,205.29
0.63096,0.95,45.0,nuebar,169.75
0.70795,0.95,45.0,numu,333.31
0.70795,0.95,45.0,numubar,317.97
0.70795,0.95,45.0,nue,156.49
0.70795,0.95,45.0,nuebar,127.19
0.79433,0.95,45.0,numu,252.9
0.79433,0.95,45.0,numubar,240.99
0.79433,0.95,45.0,nue,118.48
0.79433,0.95,45.0,nuebar,94.944
0.89125,0.95,45.0,numu,192.56
0.89125,0.95,45.0,numubar,181.4
0.89125,0.95,45.0,nue,88.171
0.89125,0.95,45.0,nuebar,70.219
1.0,0.95,45.0,numu,144.96
1.0,0.95,45.0,numubar,135.34
1.0,0.95,45.0,nue,65.351
1.0,0.95,45.0,nuebar,51.714
1.122,0.95,45.0,numu,108.96
1.122,0.95,45.0,numubar,100.8
1.122,0.95,45.0,nue,47.986
1.122,0.95,45.0,nuebar,37.951
1.2589,0.95,45.0,numu,81.806
1.2589,0.95,45.0,numubar,74.751
1.2589,0.95,45.0,nue,34.779
1.2589,0.95,45.0,nuebar,27.635
1.4125,0.95,45.0,numu,60.816
1.4125,0.95,45.0,numubar,55.063
1.4125,0.95,45.0,nue,25.128
1.4125,0.95,45.0,nuebar,19.905
1.5849,0.95,45.0,numu,45.321
1.5849,0.95,45.0,numubar,40.281
1.5849,0.95,45.0,nue,18.169
1.5849,0.95,45.0,nuebar,14.242
1.7783,0.95,45.0,numu,33.647
1.7783,0.95,45.0,numubar,29.468
1.7783,0.95,45.0,nue,12.974
1.7783,0.95,45.0,nuebar,10.193
1.9953,0.95,45.0,numu,24.692
1.9953,0.95,45.0,numubar,21.609
1.9953,0.95,45.0,nue,9.2098
1.9953,0.95,45.0,nuebar,7.159
2.2387,0.95,45.0,numu,18.152
2.2387,0.95,45.0,numubar,15.574
2.2387,0.95,45.0,nue,6.5749
2.2387,0.95,45.0,nuebar,4.9952
2.5119,0.95,45.0,numu,13.291
2.5119,0.95,45.0,numubar,11.196
2.5119,0.95,45.0,nue,4.6069
2.5119,0.95,45.0,nuebar,3.5436
2.8184,0.95,45.0,numu,9.7254
2.8184,0.95,45.0,numubar,8.1131
2.8184,0.95,45.0,nue,3.1929
2.8184,0.95,45.0,nuebar,2.4721
3.1623,0.95,45.0,numu,6.9884
3.1623,0.95,45.0,numubar,5.816
3.1623,0.95,45.0,nue,2.2248
3.1623,0.95,45.0,nuebar,1.6959
3.5481,0.95,45.0,numu,5.0692
3.5481,0.95,45.0,numubar,4.1655
3.5481,0.95,45.0,nue,1.5339
3.5481,0.95,45.0,nuebar,1.1698
3.9811,0.95,45.0,numu,3.6881
3.9811,0.95,45.0,numubar,2.9693
3.9811,0.95,45.0,nue,1.0433
3.9811,0.95,45.0,nuebar,0.80133
4.4668,0.95,45.0,numu,2.6618
4.4668,0.95,45.0,numubar,2.1231
4.4668,0.95,45.0,nue,0.71604
4.4668,0.95,45.0,nuebar,0.54539
5.0119,0.95,45.0,numu,1.9048
5.0119,0.95,45.0,numubar,1.5131
5.0119,0.95,45.0,nue,0.49064
5.0119,0.95,45.0,nuebar,0.36619
5.6234,0.95,45.0,numu,1.3706
5.6234,0.95,45.0,numubar,1.0801
5.6234,0.95,45.0,nue,0.32737
5.6234,0.95,45.0,nuebar,0.24615
6.3096,0.95,45.0,numu,0.99443
6.3096,0.95,45.0,numubar,0.77195
6.3096,0.95,45.0,nue,0.22029
6.3096,0.95,45.0,nuebar,0.16886
7.0795,0.95,45.0,numu,0.71059
7.0795,0.95,45.0,numubar,0.54932
7.0795,0.95,45.0,nue,0.15021
7.0795,0.95,45.0,nuebar,0.11447
7.9433,0.95,45.0,numu,0.50601
7.9433,0.95,45.0,numubar,0.39151
7.9433,0.95,45.0,nue,0.10215
7.9433,0.95,45.0,nuebar,0.076411
8.9125,0.95,45.0,numu,0.36088
8.9125,0.95,45.0,numubar,0.27882
8.9125,0.95,45.0,nue,0.068881
8.9125,0.95,45.0,nuebar,0.050747
10.0,0.95,45.0,numu,0.25605
10.0,0.95,45.0,numubar,0.19464
10.0,0.95,45.0,nue,0.045139
10.0,0.95,45.0,nuebar,0.033914
11.22,0.95,45.0,numu,0.18257
11.22,0.95,45.0,numubar,0.13835
11.22,0.95,45.0,nue,0.030071
11.22,0.95,45.0,nuebar,0.023036
12.589,0.95,45.0,numu,0.13051
12.589,0.95,45.0,numubar,0.097922
12.589,0.95,45.0,nue,0.020241
12.589,0.95,45.0,nuebar,0.015513
14.125,0.95,45.0,numu,0.093179
14.125,0.95,45.0,numubar,0.068952
14.125,0.95,45.0,nue,0.013354
14.125,0.95,45.0,nuebar,0.010233
15.849,0.95,45.0,numu,0.065924
15.849,0.95,45.0,numubar,0.048776
15.849,0.95,45.0,nue,0.0088244
15.849,0.95,45.0,nuebar,0.006865
17.783,0.95,45.0,numu,0.046458
17.783,0.95,45.0,numubar,0.034374
17.783,0.95,45.0,nue,0.0059009
17.783,0.95,45.0,nuebar,0.0045686
19.953,0.95,45.0,numu,0.033131
19.953,0.95,45.0,numubar,0.024256
19.953,0.95,45.0,nue,0.0038225
19.953,0.95,45.0,nuebar,0.0029869
22.387,0.95,45.0,numu,0.023754
22.387,0.95,45.0,numubar,0.01715
22.387,0.95,45.0,nue,0.0025279
22.387,0.95,45.0,nuebar,0.0020158
25.119,0.95,45.0,numu,0.01671
25.119,0.95,45.0,numubar,0.01202
25.119,0.95,45.0,nue,0.0017451
25.119,0.95,45.0,nuebar,0.0013515
28.184,0.95,45.0,numu,0.011906
28.184,0.95,45.0,numubar,0.0085043
28.184,0.95,45.0,nue,0.0012102
28.184,0.95,45.0,nuebar,0.00089246
31.623,0.95,45.0,numu,0.0084177
31.623,0.95,45.0,numubar,0.0060844
31.623,0.95,45.0,nue,0.0007685
31.623,0.95,45.0,nuebar,0.0006171
35.481,0.95,45.0,numu,0.0059169
35.481,0.95,45.0,numubar,0.0042584
35.481,0.95,45.0,nue,0.00050628
35.481,0.95,45.0,nuebar,0.00041099
39.811,0.95,45.0,numu,0.004159
39.811,0.95,45.0,numubar,0.0029784
39.811,0.95,45.0,nue,0.00033648
39.811,0.95,45.0,nuebar,0.00027428
44.668,0.95,45.0,numu,0.0029456
44.668,0.95,45.0,numubar,0.0020942
44.668,0.95,45.0,nue,0.0002329
44.668,0.95,45.0,nuebar,0.00018331
50.119,0.95,45.0,numu,0.0020778
50.119,0.95,45.0,numubar,0.0014785
50.119,0.95,45.0,nue,0.00015282
50.119,0.95,45.0,nuebar,0.00012404
56.234,0.95,45.0,numu,0.0014619
56.234,0.95,45.0,numubar,0.0010356
56.234,0.95,45.0,nue,0.0001041
56.234,0.95,45.0,nuebar,8.6666e-05
63.096,0.95,45.0,numu,0.0010323
63.096,0.95,45.0,numubar,0.00071947
