depth_km,mass_density_g_cm3,vp_km_s,vs_km_s,q_alpha,q_mu,radius_km,radius_fraction,electron_fraction,electron_density_mol_cm3,neutron_density_mol_cm3
2047.0,5.1264,12.8524,6.9416,1058.03,411.52,4324.0,0.6787003610108303,0.495,2.5375680000000003,2.588832
1997.5,5.1027,12.7956,6.9194,1064.23,414.94,4373.5,0.6864699419243447,0.495,2.5258364999999996,2.5768635
1948.0,5.0789,12.7384,6.8972,1070.38,418.41,4423.0,0.6942395228378591,0.495,2.5140555,2.5648445
1898.5,5.0548,12.6807,6.8743,1085.97,425.53,4472.5,0.7020091037513734,0.495,2.502126,2.552674
1849.0,5.0306,12.6226,6.8517,1097.16,431.03,4522.0,0.7097786846648878,0.495,2.490147,2.540453
1799.5,5.0062,12.5638,6.8289,1108.58,436.68,4571.5,0.7175482655784021,0.495,2.478069,2.5281309999999997
1750.0,4.9817,12.503,6.8056,1120.09,442.48,4621.0,0.7253178464919166,0.495,2.4659415,2.5157585
1700.5,4.957,12.4427,6.782,1127.02,446.43,4670.5,0.7330874274054309,0.495,2.453715,2.503285
1651.0,4.9321,12.3813,6.7579,1134.01,450.45,4720.0,0.7408570083189452,0.495,2.4413895,2.4907105
1601.5,4.9069,12.3181,6.7323,1141.32,454.55,4769.5,0.7486265892324596,0.495,2.4289155,2.4779845000000003
1552.0,4.8817,12.2558,6.707,1148.76,458.72,4819.0,0.7563961701459739,0.495,2.4164415000000004,2.4652585
1502.5,4.8562,12.1912,6.6813,1156.04,462.96,4868.5,0.7641657510594883,0.495,2.403819,2.4523810000000004
1453.0,4.8307,12.1247,6.6554,1163.16,467.29,4918.0,0.7719353319730027,0.495,2.3911965,2.4395035000000003
1403.5,4.805,12.0571,6.6285,1170.53,471.7,4967.5,0.779704912886517,0.495,2.378475,2.426525
1354.0,4.779,11.9891,6.6009,1178.19,476.19,5017.0,0.7874744938000314,0.495,2.365605,2.413395
1304.5,4.7528,11.9208,6.5728,1186.06,480.77,5066.5,0.7952440747135457,0.495,2.352636,2.4001639999999997
1255.0,4.7266,11.8491,6.5431,1193.99,485.44,5116.0,0.8030136556270601,0.495,2.339667,2.3869330000000004
1205.5,4.7001,11.7768,6.5131,1202.04,490.2,5165.5,0.8107832365405745,0.495,2.3265495,2.3735505
1156.0,4.6735,11.702,6.4822,1210.02,495.05,5215.0,0.8185528174540888,0.495,2.3133825,2.3601175
1106.5,4.6467,11.6265,6.4514,1217.91,500.0,5264.5,0.8263223983676032,0.495,2.3001165,2.3465835
1057.0,4.6198,11.5493,6.4182,1226.52,505.05,5314.0,0.8340919792811176,0.495,2.2868009999999996,2.332999
1007.5,4.5926,11.4704,6.386,1234.54,510.2,5363.5,0.8418615601946319,0.495,2.273337,2.319263
958.0,4.5654,11.3897,6.3519,1243.02,515.46,5413.0,0.8496311411081463,0.495,2.2598730000000002,2.305527
908.5,4.5162,11.3068,6.3164,1251.69,520.83,5462.5,0.8574007220216606,0.495,2.235519,2.2806810000000004
859.0,4.465,11.2228,6.2799,1260.68,526.32,5512.0,0.865170302935175,0.495,2.210175,2.254825
809.5,4.4118,11.1355,6.2424,1269.44,531.91,5561.5,0.8729398838486894,0.495,2.183841,2.2279590000000002
760.0,4.3565,11.0553,6.21,1277.93,537.63,5611.0,0.8807094647622037,0.495,2.1564674999999998,2.2000325
710.0,4.2986,10.9222,6.0898,1311.17,543.48,5661.0,0.8885575262910062,0.495,2.1278070000000002,2.170793
660.0,4.2387,10.7909,5.9607,1350.54,549.45,5711.0,0.8964055878198085,0.495,2.0981565,2.1405434999999997
