radius,electron_density_mol_cm3
0.3585,5.3088444423098835
0.359,5.284452517751804
0.3595,5.248074602497725
0.36,5.223961889991197
0.3605,5.188000389289611
0.361,5.1641636927207095
0.3615,5.14043651582426
0.362,5.105049999754062
0.3625,5.081594425605605
0.363,5.046612975635283
0.3635,5.023425895223871
0.364,4.9888448746001215
0.3645,4.96592321450336
0.365,4.931738039549358
0.3655,4.90907876152603
0.366,4.886523593428335
0.3665,4.852885001621211
0.367,4.830588020397727
0.3675,4.797334486366892
0.368,4.775292736576909
0.3685,4.742419852602447
0.369,4.720630412635906
0.3695,4.698941086052154
0.37,4.666593803142887
0.3705,4.645152752227495
0.371,4.613175745603794
0.3715,4.591980128368687
0.372,4.560369159512962
0.3725,4.539416166502032
0.373,4.518559443749224
0.3735,4.487453899331322
0.374,4.466835921509632
0.3745,4.436086439314326
0.375,4.4157044735331255
0.3755,4.385306977749857
0.376,4.36515832240166
0.3765,4.345102241715716
0.377,4.3151907682776525
0.3775,4.295364267648873
0.378,4.265795188015927
0.3785,4.246195639463129
0.379,4.216965034285822
0.3795,4.1975898399100755
0.38,4.178303666466218
0.3805,4.14954042634363
0.381,4.130475019901613
0.3815,4.1020410298660686
0.382,4.083193863326921
0.3825,4.0644332916521275
0.383,4.03645392967605
0.3835,4.017908108489399
