 Distribution of neutrino fluxes in the BP04 standard solar model model.

astro-ph/0402114

The cumulative neutrino fluxes from Table 1 of BP04 are given in the row below.
 
 5.938E+00 1.401E-02 7.875E-07 4.857E-01 5.822E-04 5.712E-02 5.031E-02 5.912E-04 
 (Fictional fluxes for internal checks: 2.735E+00 4.863E-01)
 
Columns in the Table below represent:

1) Radius of the zone in units of one solar radius
2) Temperature in units of 10^6 deg (K)
3) Logarithm (to the base 10) of the electron density in units of
   cm^{-3}/N_A, where N_A is the Avogadro number
4) Mass of the zone with the given radius in units of one solar mass 
5) X(^7Be): beryllium-7 mass fraction
   [For special purposes, it is useful to know the 7^Be mass fraction.]
6) Fraction of pp neutrinos produced in the zone 
7) Fraction of boron 8 neutrinos produced in the zone
8) Fraction of nitrogen 13 neutrinos produced in the zone
9) Fraction of oxygen 15 neutrinos produced in the zone
10) Fraction of florine 17 neutrinos produced in the zone
11) Fraction of beryllium 7 neutrinos produced in the zone
12) Fraction of pep neutrinos produced in the zone
13) Fraction of hep neutrinos produced in the zone
 
  0.01987 15.578 2.003 3.511E-05 1.644E-11 2.191E-04 2.349E-03 1.871E-03 2.129E-03 2.208E-03 1.021E-03 3.395E-04 9.317E-05
  0.02016 15.574 2.003 3.648E-05 1.641E-11 2.277E-04 2.429E-03 1.934E-03 2.200E-03 2.283E-03 1.058E-03 3.526E-04 9.695E-05
  0.02044 15.570 2.002 3.789E-05 1.638E-11 2.366E-04 2.510E-03 1.998E-03 2.273E-03 2.360E-03 1.097E-03 3.661E-04 1.009E-04
  0.02073 15.566 2.002 3.935E-05 1.635E-11 2.457E-04 2.593E-03 2.064E-03 2.348E-03 2.438E-03 1.136E-03 3.800E-04 1.049E-04
  0.02102 15.562 2.002 4.085E-05 1.632E-11 2.551E-04 2.678E-03 2.131E-03 2.424E-03 2.517E-03 1.176E-03 3.944E-04 1.091E-04
  0.02131 15.558 2.001 4.240E-05 1.629E-11 2.648E-04 2.765E-03 2.199E-03 2.502E-03 2.598E-03 1.218E-03 4.092E-04 1.134E-04
  0.02161 15.554 2.001 4.400E-05 1.626E-11 2.749E-04 2.853E-03 2.268E-03 2.581E-03 2.681E-03 1.261E-03 4.244E-04 1.179E-04
  0.02191 15.549 2.001 4.564E-05 1.622E-11 2.852E-04 2.943E-03 2.339E-03 2.661E-03 2.765E-03 1.304E-03 4.401E-04 1.225E-04
  0.02221 15.544 2.001 4.733E-05 1.619E-11 2.958E-04 3.034E-03 2.411E-03 2.743E-03 2.851E-03 1.349E-03 4.562E-04 1.272E-04
  0.02252 15.540 2.000 4.907E-05 1.615E-11 3.067E-04 3.127E-03 2.484E-03 2.826E-03 2.938E-03 1.394E-03 4.727E-04 1.321E-04
  0.02283 15.535 2.000 5.086E-05 1.611E-11 3.180E-04 3.221E-03 2.558E-03 2.910E-03 3.026E-03 1.441E-03 4.897E-04 1.372E-04
  0.02314 15.530 2.000 5.270E-05 1.608E-11 3.295E-04 3.316E-03 2.633E-03 2.996E-03 3.116E-03 1.489E-03 5.071E-04 1.424E-04
  0.02345 15.525 1.999 5.459E-05 1.604E-11 3.414E-04 3.413E-03 2.710E-03 3.083E-03 3.207E-03 1.537E-03 5.250E-04 1.478E-04
  0.02377 15.520 1.999 5.653E-05 1.600E-11 3.536E-04 3.511E-03 2.787E-03 3.170E-03 3.299E-03 1.587E-03 5.434E-04 1.533E-04
  0.02409 15.515 1.999 5.852E-05 1.596E-11 3.661E-04 3.610E-03 2.865E-03 3.259E-03 3.392E-03 1.638E-03 5.622E-04 1.590E-04
  0.02442 15.509 1.998 6.056E-05 1.592E-11 3.789E-04 3.710E-03 2.943E-03 3.349E-03 3.486E-03 1.689E-03 5.815E-04 1.649E-04
  0.02474 15.504 1.998 6.265E-05 1.587E-11 3.920E-04 3.812E-03 3.023E-03 3.439E-03 3.581E-03 1.742E-03 6.012E-04 1.709E-04
  0.02507 15.498 1.997 6.479E-05 1.583E-11 4.055E-04 3.914E-03 3.103E-03 3.530E-03 3.676E-03 1.795E-03 6.214E-04 1.771E-04
  0.02540 15.493 1.997 6.699E-05 1.579E-11 4.193E-04 4.016E-03 3.184E-03 3.622E-03 3.773E-03 1.850E-03 6.420E-04 1.834E-04
  0.02574 15.487 1.997 6.923E-05 1.574E-11 4.334E-04 4.120E-03 3.265E-03 3.714E-03 3.870E-03 1.905E-03 6.631E-04 1.900E-04
  0.02608 15.481 1.996 7.153E-05 1.570E-11 4.478E-04 4.224E-03 3.347E-03 3.807E-03 3.968E-03 1.961E-03 6.846E-04 1.967E-04
  0.02642 15.475 1.996 7.387E-05 1.565E-11 4.626E-04 4.328E-03 3.429E-03 3.901E-03 4.066E-03 2.018E-03 7.065E-04 2.035E-04
  0.02676 15.469 1.995 7.627E-05 1.560E-11 4.777E-04 4.432E-03 3.511E-03 3.994E-03 4.164E-03 2.075E-03 7.289E-04 2.106E-04
  0.02710 15.463 1.995 7.871E-05 1.556E-11 4.930E-04 4.537E-03 3.593E-03 4.088E-03 4.262E-03 2.133E-03 7.518E-04 2.178E-04
  0.02745 15.456 1.995 8.121E-05 1.551E-11 5.087E-04 4.642E-03 3.675E-03 4.181E-03 4.361E-03 2.192E-03 7.750E-04 2.252E-04
  0.02780 15.450 1.994 8.376E-05 1.546E-11 5.247E-04 4.747E-03 3.758E-03 4.275E-03 4.459E-03 2.252E-03 7.987E-04 2.328E-04
  0.02815 15.443 1.994 8.635E-05 1.540E-11 5.411E-04 4.851E-03 3.840E-03 4.368E-03 4.558E-03 2.312E-03 8.228E-04 2.405E-04
  0.02851 15.437 1.993 8.899E-05 1.535E-11 5.577E-04 4.955E-03 3.922E-03 4.461E-03 4.656E-03 2.372E-03 8.472E-04 2.484E-04
  0.02887 15.430 1.993 9.168E-05 1.530E-11 5.746E-04 5.059E-03 4.003E-03 4.554E-03 4.753E-03 2.434E-03 8.721E-04 2.565E-04
  0.02923 15.423 1.992 9.442E-05 1.525E-11 5.918E-04 5.162E-03 4.084E-03 4.646E-03 4.851E-03 2.495E-03 8.974E-04 2.648E-04
  0.02959 15.416 1.992 9.720E-05 1.519E-11 6.093E-04 5.264E-03 4.165E-03 4.738E-03 4.947E-03 2.557E-03 9.230E-04 2.732E-04
  0.02995 15.409 1.991 1.000E-04 1.513E-11 6.270E-04 5.365E-03 4.244E-03 4.829E-03 5.043E-03 2.620E-03 9.490E-04 2.818E-04
  0.03032 15.401 1.991 1.029E-04 1.508E-11 6.451E-04 5.465E-03 4.324E-03 4.919E-03 5.137E-03 2.682E-03 9.753E-04 2.906E-04
  0.03068 15.394 1.990 1.058E-04 1.502E-11 6.634E-04 5.565E-03 4.402E-03 5.008E-03 5.231E-03 2.745E-03 1.002E-03 2.996E-04
  0.03105 15.386 1.990 1.088E-04 1.496E-11 6.820E-04 5.662E-03 4.479E-03 5.095E-03 5.323E-03 2.808E-03 1.029E-03 3.087E-04
  0.03143 15.379 1.989 1.118E-04 1.490E-11 7.008E-04 5.759E-03 4.555E-03 5.182E-03 5.415E-03 2.871E-03 1.056E-03 3.179E-04
  0.03180 15.371 1.989 1.148E-04 1.484E-11 7.199E-04 5.853E-03 4.630E-03 5.267E-03 5.504E-03 2.934E-03 1.084E-03 3.274E-04
  0.03218 15.363 1.988 1.179E-04 1.478E-11 7.392E-04 5.946E-03 4.704E-03 5.351E-03 5.593E-03 2.998E-03 1.112E-03 3.370E-04
  0.03255 15.355 1.988 1.210E-04 1.472E-11 7.588E-04 6.037E-03 4.776E-03 5.433E-03 5.679E-03 3.061E-03 1.140E-03 3.468E-04
  0.03293 15.347 1.987 1.242E-04 1.465E-11 7.785E-04 6.126E-03 4.847E-03 5.514E-03 5.764E-03 3.124E-03 1.168E-03 3.567E-04
