radius,pp fraction,pep fraction,hep fraction,7Be fraction,8B fraction,13N fraction,15O fraction,17F fraction
0.0755,7.0570143,8.80120288,4.51680024,11.5488895,8.2074469,6.69469828,9.51361943,8.92201439
0.076,7.11224216,8.84710742,4.56996957,11.4860249,8.03247101,6.58945072,9.36418427,8.76128716
0.0765,7.1444502,8.86411179,4.60865947,11.3861665,7.83612234,6.4650387,9.18751197,8.5759415
0.077,7.19153461,8.89928436,4.65724266,11.3095181,7.65844507,6.35500697,9.03127542,8.41021009
0.0775,7.2076249,8.89590426,4.68598202,11.1845625,7.45233547,6.21981,8.83927412,8.21199449
0.078,7.25762067,8.93408785,4.73702938,11.1114157,7.28241234,6.11413162,8.68922255,8.05310005
0.0785,7.29866512,8.96097796,4.7825684,11.0247456,7.10778293,6.00294371,8.53133948,7.88776752
0.079,7.32544817,8.97014166,4.81899868,10.9167896,6.92322483,5.88192625,8.35948528,7.71026405
0.0795,7.37519154,9.00713828,4.87083209,10.8426471,6.76263181,5.78025778,8.21512886,7.55863729
0.08,7.39281773,9.00472553,4.90171546,10.7221012,6.57767052,5.65599818,8.03866292,7.37836231
0.0805,7.44089523,9.0391363,4.95306028,10.6452401,6.42150627,5.55567952,7.8962233,7.22973833
0.081,7.45018303,9.02627761,4.97881611,10.5139371,6.23711564,5.42914406,7.71651907,7.04790583
0.0815,7.49126714,9.05170056,5.02607527,10.4270711,6.08072484,5.32628065,7.57045961,6.8971517
0.082,7.53456142,9.07954608,5.07511037,10.3435957,5.93005643,5.22690662,7.42935835,6.75168118
0.0825,7.55993207,9.08560729,5.11234647,10.2363377,5.76988056,5.11747389,7.27395678,6.59404733
0.083,7.56725829,9.06986074,5.13755734,10.1053676,5.59951128,4.9977086,7.10386624,6.42373678
0.0835,7.60677447,9.09246631,5.18486683,10.0170792,5.45449179,4.89982058,6.96487176,6.28190953
0.084,7.63213352,9.09797942,5.22278275,9.91103063,5.30372898,4.79515061,6.81623487,6.13218828
0.0845,7.68260183,9.13317147,5.27820971,9.83772816,5.17323701,4.7076181,6.69195787,6.00495698
0.085,7.67351288,9.09751805,5.29288169,9.69005319,5.00864346,4.5869726,6.52060427,5.8364783
0.0855,7.70440247,9.10906346,5.33533732,9.59242781,4.8707494,4.49038755,6.38345409,5.69879833
0.086,7.74685466,9.13406813,5.38608523,9.50974916,4.74370742,4.40239198,6.25851336,5.57269059
0.0865,7.75195141,9.11495259,5.41105934,9.38281882,4.59893526,4.2960875,6.10753917,5.4242727
0.087,7.77345058,9.11497151,5.44768932,9.27600581,4.46589949,4.19991611,5.97096942,5.28903442
0.0875,7.79353609,9.11320157,5.48355355,9.16834073,4.33539032,4.10482874,5.83593837,5.15575839
0.088,7.8242538,9.12370116,5.52715633,9.07384964,4.2138613,4.0170083,5.71123663,5.03217297
0.0885,7.84625724,9.12392348,5.56483116,8.97042951,4.09163053,3.92698001,5.58339311,4.90652326
0.089,7.84813513,9.10068601,5.58838543,8.84525815,3.96260658,3.82903588,5.44429038,4.77161663
0.0895,7.86193703,9.09116013,5.62061401,8.73400297,3.84164203,3.73803752,5.31506202,4.64574623
0.09,7.88802553,9.09570413,5.66185651,8.63711201,3.72946977,3.65444251,5.19635833,4.5295954
0.0905,7.92190137,9.1090894,5.7089406,8.54978603,3.6245119,3.57648446,5.0856674,4.42107922
0.091,7.89927847,9.05757394,5.71541858,8.40373786,3.49859577,3.47604484,4.94300146,4.285582
0.0915,7.9326328,9.07003495,5.76262344,8.31671599,3.39763027,3.40017381,4.83527281,4.18046999
0.092,7.95261144,9.06714143,5.80032287,8.21733039,3.29519929,3.32113782,4.72304058,4.07222795
0.0925,7.9465404,9.03455164,5.81916014,8.09266865,3.18565361,3.2334904,4.59855607,3.95406331
0.093,7.96546175,9.03025428,5.85649954,7.99384387,3.08770719,3.1569076,4.48980667,3.84974294
0.0935,7.9834286,9.02481218,5.89333283,7.895385,2.99269177,3.08196037,4.38337982,3.74801889
0.094,7.98117504,8.99651901,5.91536899,7.77854428,2.89354997,3.00137676,4.26893126,3.64004875
0.0945,7.99361731,8.98470915,5.94847925,7.67674663,2.80170248,2.92750368,4.16402515,3.54058905
0.095,8.00262946,8.96901359,5.97921431,7.57301195,2.71162269,2.85423701,4.05997833,3.44240119
0.0955,8.01238091,8.95411049,6.01066103,7.47121157,2.62452958,2.78295091,3.95874431,3.3471021
0.096,8.00270469,8.91753313,6.027634,7.35286346,2.53403169,2.7068455,3.85065076,3.24652946
0.0965,8.02827065,8.92009857,6.0713664,7.26728802,2.45610971,2.64349515,3.76070085,3.16154449
0.097,8.01395511,8.87846127,6.08502835,7.14793612,2.36995353,2.5696564,3.65582391,3.06470873
0.0975,8.02288559,8.8624977,6.11649857,7.04980668,2.29198522,2.50407775,3.56269579,2.97798233
0.098,8.03488844,8.84991551,6.15047909,6.95577985,2.21758005,2.44122096,3.47343658,2.89498862
0.0985,8.02543196,8.81377253,6.16814038,6.84502626,2.14028837,2.37389874,3.37781958,2.80723956
0.099,8.04263748,8.80683221,6.20646674,6.75767081,2.07164609,2.31544601,3.29481948,2.73028012
0.0995,8.02205048,8.7586514,6.21566963,6.6407997,1.9966508,2.2484548,3.19966323,2.64384895
0.1,8.02592465,8.73711243,6.2439789,6.54463327,1.92877684,2.18898491,3.11520868,2.56646669
0.1005,8.028805,8.71452416,6.27165285,6.4491565,1.86309385,2.13091133,3.03273696,2.49117008
0.101,8.01991391,8.67923329,6.29020781,6.34583281,1.79711566,2.07141811,2.94823947,2.41465715
0.1015,8.02343474,8.65736829,6.31864575,6.25336158,1.73561568,2.01629463,2.86995898,2.34355935
0.102,8.02804995,8.63673068,6.34804951,6.1632705,1.67668251,1.96308233,2.79439367,2.2751163
0.1025,8.00780212,8.58948484,6.35784412,6.0560095,1.61509094,1.90562925,2.71278566,2.20221379
0.103,8.00594033,8.56193871,6.38235326,5.96333121,1.55833635,1.85333506,2.63851942,2.13549263
0.1035,7.99790711,8.52787735,6.40202249,5.86761175,1.50248583,1.80114003,2.56438969,2.06927638
0.104,7.99547958,8.49983733,6.42631329,5.77729067,1.44944509,1.75148076,2.49386601,2.00630418
0.1045,7.98091781,8.45901636,6.44084819,5.67980886,1.39626591,1.70068944,2.42172531,1.94241936
0.105,7.98759877,8.44070712,6.47267813,5.59838845,1.34816051,1.65540357,2.35742159,1.88508865
0.1055,7.96144987,8.38792042,6.47791298,5.49618661,1.29703598,1.60523837,2.28616104,1.82266373
0.106,7.96233288,8.36358058,6.50527382,5.41318657,1.25115295,1.56112096,2.22351226,1.76727783
0.1065,7.94062471,8.31569786,6.51417164,5.3167864,1.20389999,1.51425264,2.156939,1.70918749
0.107,7.93124744,8.28075958,6.53326261,5.2295164,1.15961335,1.47056009,2.09488582,1.65489892
0.1075,7.93288776,8.25739494,6.56152659,5.15084308,1.11851398,1.43011032,2.03744789,1.60457149
0.108,7.91047865,8.20921584,6.56989687,5.05863425,1.07615344,1.38700825,1.97622385,1.55167316
0.1085,7.8901496,8.16327411,6.58003514,4.9687659,1.03515571,1.3451195,1.91672483,1.50034311
0.109,7.88334775,8.13137977,6.60153632,4.88841819,0.997064567,1.3064149,1.86175908,1.45279279
