radius_km,radius_fraction,mass_density_g_cm3,electron_fraction,electron_density_mol_cm3,neutron_density_mol_cm3,depth_km
1331.539,0.209,12.080002541069707,0.467,5.641361186679553,6.438641354390152,5039.461
1337.9099999999999,0.21,12.076639478244111,0.467,5.63979063634,6.43684884190411,5033.09
1344.281,0.211,12.07325954022928,0.467,5.638212205287074,6.4350473349422055,5026.719
1350.652,0.212,12.06986271527688,0.467,5.636625888034303,6.433236827242576,5020.348
1357.023,0.213,12.066448991582769,0.467,5.6350316790691535,6.431417312513615,5013.977
1363.394,0.214,12.063018357286989,0.467,5.633429572853024,6.429588784433964,5007.606
1369.7649999999999,0.215,12.059570800473768,0.467,5.63181956382125,6.427751236652518,5001.235000000001
1376.136,0.216,12.056106309171527,0.467,5.630201646383104,6.425904662788423,4994.8640000000005
1382.507,0.217,12.052624871352876,0.467,5.628575814921794,6.424049056431082,4988.493
1388.878,0.218,12.04912647493461,0.467,5.626942063794464,6.4221844111401465,4982.122
1395.249,0.219,12.045611107777717,0.467,5.625300387332194,6.420310720445522,4975.751
1401.6200000000001,0.22,12.042078757687364,0.467,5.623650779839999,6.418427977847363,4969.38
1407.991,0.221,12.03852941241292,0.467,5.621993235596834,6.416536176816085,4963.009
1414.362,0.222,12.034963059647929,0.467,5.620327748855583,6.414635310792345,4956.638
1420.733,0.223,12.031379687030135,0.467,5.618654313843074,6.412725373187061,4950.267
1427.104,0.224,12.027779282141463,0.467,5.616972924760064,6.410806357381399,4943.896
1433.4750000000001,0.225,12.02416183250803,0.467,5.61528357578125,6.408878256726779,4937.525000000001
1439.846,0.226,12.020527325600137,0.467,5.613586261055264,6.4069410645448714,4931.154
1446.217,0.227,12.016875748832277,0.467,5.611880974704674,6.404994774127602,4924.783
1452.588,0.228,12.013207089563135,0.467,5.610167710825984,6.40303937873715,4918.412
1458.959,0.229,12.009521335095576,0.467,5.608446463489634,6.401074871605941,4912.041
1465.3300000000002,0.23,12.005818472676658,0.467,5.60671722674,6.399101245936658,4905.67
1471.701,0.231,12.00209848949763,0.467,5.604979994595394,6.3971184949022355,4899.299
1478.0720000000001,0.232,11.998361372693926,0.467,5.603234761048064,6.395126611645861,4892.928
1484.443,0.233,11.994607109345168,0.467,5.601481520064194,6.393125589280974,4886.557
1490.814,0.234,11.990835686475169,0.467,5.599720265583904,6.391115420891264,4880.186
1497.1850000000002,0.23500000000000001,11.987047091051927,0.467,5.59795099152125,6.3890960995306765,4873.8150000000005
1503.556,0.23600000000000002,11.983241309987632,0.467,5.596173691764224,6.387067618223407,4867.444
1509.9270000000001,0.23700000000000002,11.979418330138659,0.467,5.5943883601747535,6.385029969963904,4861.073
1516.298,0.23800000000000002,11.975578138305575,0.467,5.5925949905887045,6.382983147716871,4854.702
1522.669,0.23900000000000002,11.971720721233133,0.467,5.590793576815874,6.380927144417259,4848.331
1529.04,0.24,11.967846065610276,0.467,5.5889841126399995,6.378861952970277,4841.96
1535.411,0.241,11.963954158070138,0.467,5.587166591818755,6.376787566251382,4835.589
1541.782,0.242,11.960044985190029,0.467,5.585341008083744,6.374703977106284,4829.218
1548.153,0.243,11.956118533491464,0.467,5.583507355140514,6.372611178350949,4822.847
1554.524,0.244,11.952174789440136,0.467,5.581665626668544,6.370509162771591,4816.476
1560.895,0.245,11.94821373944593,0.467,5.57981581632125,6.36839792312468,4810.1050000000005
1567.266,0.246,11.94423536986292,0.467,5.577957917725984,6.366277452136935,4803.734
1573.637,0.247,11.940239666989363,0.467,5.576091924484033,6.36414774250533,4797.363
1580.008,0.248,11.936226617067716,0.467,5.574217830170624,6.362008786897092,4790.992
1586.379,0.249,11.932196206284614,0.467,5.572335628334915,6.359860577949698,4784.621
1592.75,0.25,11.928148420770876,0.467,5.5704453124999995,6.357703108270876,4778.25
1599.121,0.251,11.924083246601528,0.467,5.568546876162914,6.355536370438614,4771.879
1605.492,0.252,11.920000669795769,0.467,5.5666403127946245,6.353360357001144,4765.508
1611.863,0.253,11.915900676316989,0.467,5.564725615840034,6.351175060476954,4759.137
1618.234,0.254,11.91178325207277,0.467,5.562802778717984,6.348980473354785,4752.766
1624.605,0.255,11.907648382914882,0.467,5.56087179482125,6.346776588093631,4746.3949999999995
1630.976,0.256,11.90349605463928,0.467,5.558932657516544,6.3445633971227355,4740.024
1637.347,0.257,11.89932625298611,0.467,5.556985360144514,6.342340892841596,4733.653
1643.718,0.258,11.895138963639708,0.467,5.555029896019744,6.340109067619963,4727.282
1650.089,0.259,11.890934172228596,0.467,5.553066258430754,6.33786791379784,4720.911
1656.46,0.26,11.88671186432548,0.467,5.55109444064,6.3356174236854805,4714.54
1662.8310000000001,0.261,11.882472025447267,0.467,5.549114435883874,6.333357589563392,4708.169
1669.202,0.262,11.87821464105504,0.467,5.547126237372704,6.331088403682335,4701.798
1675.573,0.263,11.873939696554075,0.467,5.5451298382907535,6.3288098582633205,4695.427
1681.9440000000002,0.264,11.86964717729384,0.467,5.543125231796224,6.326521945497616,4689.056
1688.315,0.265,11.865337068567987,0.467,5.54111241102125,6.324224657546736,4682.6849999999995
1694.6860000000001,0.266,11.861009355614355,0.467,5.539091369071904,6.32191798654245,4676.314
1701.057,0.267,11.856664023614975,0.467,5.537062099028193,6.319601924586781,4669.943
1707.428,0.268,11.852301057696067,0.467,5.535024593944064,6.317276463752003,4663.572
1713.7990000000002,0.269,11.847920442928038,0.467,5.532978846847394,6.314941596080643,4657.201
1720.17,0.27,11.843522164325481,0.467,5.53092485074,6.3125973135854805,4650.83
1726.5410000000002,0.271,11.83910620684718,0.467,5.528862598597634,6.3102436082495466,4644.459
1732.912,0.272,11.834672555396109,0.467,5.526792083369983,6.307880472026125,4638.088
1739.2830000000001,0.273,11.83022119481943,0.467,5.524713297980674,6.305507896838755,4631.717
1745.6540000000002,0.274,11.825752109908487,0.467,5.522626235327264,6.303125874581223,4625.346
1752.025,0.275,11.821265285398821,0.467,5.52053088828125,6.300734397117571,4618.974999999999
1758.3960000000002,0.276,11.816760705970156,0.467,5.518427249688063,6.298333456282092,4612.604
1764.767,0.277,11.812238356246409,0.467,5.516315312367073,6.295923043879335,4606.233
1771.1380000000001,0.278,11.807698220795682,0.467,5.514195069111584,6.293503151684098,4599.862
1777.5090000000002,0.279,11.803140284130263,0.467,5.5120665126888335,6.29107377144143,4593.491
1783.88,0.28,11.798564530706637,0.467,5.50992963584,6.288634894866636,4587.12
1790.2510000000002,0.281,11.793970944925467,0.467,5.507784431280194,6.286186513645273,4580.749
1796.622,0.28200000000000003,11.789359511131615,0.467,5.505630891698464,6.283728619433149,4574.378
