radius,electron_density_mol_cm3,neutron_density_mol_cm3
0.105823,64.52529518573736,18.58169898307679
0.106471,64.23030732454399,18.41569550207269
0.107122,63.93519586900455,18.2503417791649
0.107774,63.63850959828527,18.087740849613468
0.108429,63.34320007697665,17.926200624712195
0.109085,63.04635745746975,17.764896856631765
0.109745,62.74946104288665,17.604250940016456
0.110406,62.451086720823874,17.44386602986458
0.111071,62.152700036398606,17.28415587122717
0.111738,61.85431475690679,17.125125067387856
0.112408,61.55452722192542,16.968831463539615
0.11308,61.25478219887769,16.81321304959961
0.113756,60.9536897240169,16.65789051891403
0.114435,60.65268064697658,16.503258726908612
0.115117,60.35037874868148,16.348945266354534
0.115803,60.04681824575064,16.194964710118
