reco_energy	reco_coszen	pid	pdg	true_energy	true_coszen	weight	type	interaction	MaCCQE_linear	MaCCQE_quad	MaCCRES_linear	MaCCRES_quad	Q2	W	x	y
17.8	-0.615	0.650	12	14.45308983	-0.83871393	0.0000914458593987	1	2	0.00000000	0.00000000	0.00000000	0.00000000	3.04253049	3.31002886	0.23194875	0.48330829
7.4	-0.945	0.875	12	26.25072606	-0.77985426	0.0005397454710216	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.24737115	1.87633436	0.08570131	0.05855477
7.4	-0.835	0.650	12	14.65465916	-0.84211250	0.0000960757576448	1	2	0.00000000	0.00000000	0.00000000	0.00000000	9.67481876	3.88468323	0.40507507	0.86790790
9.9	-0.395	0.650	12	14.21354116	0.40851440	0.0000864989541133	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.58146876	3.02556247	0.23783727	0.40665556
42.8	-0.175	0.650	12	68.71161490	0.76881924	0.0094105323608463	1	2	0.00000000	0.00000000	0.00000000	0.00000000	39.38657653	9.03851191	0.32767615	0.93156956
13.3	-0.835	0.650	12	29.74610744	-0.02151742	0.0007778171892467	1	2	0.00000000	0.00000000	0.00000000	0.00000000	19.17002682	5.60489648	0.38568904	0.88981008
23.8	-0.725	0.875	12	39.04060285	-0.87594023	0.0017479713314866	1	2	0.00000000	0.00000000	0.00000000	0.00000000	8.03000901	6.91496861	0.14609252	0.74974501
42.8	-0.285	0.875	12	41.76916030	-0.04969889	0.0021341826600810	1	2	0.00000000	0.00000000	0.00000000	0.00000000	1.03314552	4.91397558	0.04251849	0.30979181
77.0	-0.395	0.650	12	53.09924686	-0.31893331	0.0043620718663269	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.89356857	8.41324264	0.08976626	0.77016655
7.4	-0.835	0.650	12	17.77989120	-0.62233806	0.0001687453835406	1	2	0.00000000	0.00000000	0.00000000	0.00000000	4.20196681	3.43339636	0.27811738	0.45251963
57.4	-0.395	0.650	12	80.24122408	-0.92534153	0.0149664021633926	1	2	0.00000000	0.00000000	0.00000000	0.00000000	5.36899740	5.55613649	0.15184640	0.23465683
17.8	-0.505	0.650	12	21.99136533	-0.15054077	0.0003185080783881	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.56718218	4.31779139	0.12628217	0.49227128
123.3	-0.725	0.650	12	240.32541206	-0.63255812	0.4183982567101143	1	2	0.00000000	0.00000000	0.00000000	0.00000000	14.10977234	14.67907038	0.06169466	0.50677455
23.8	-0.285	0.650	12	112.24258987	-0.76013050	0.0463529846616745	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.71147316	7.25771712	0.04974782	0.25859232
7.4	-0.945	0.650	12	8.55880200	-0.99747955	0.0000186119096182	1	1	0.00000000	0.00000000	0.17433442	-0.02406835	0.21429376	1.79478504	0.08390585	0.15890822
13.3	-0.835	0.650	12	11.46320292	-0.41587570	0.0000440667528025	1	1	0.00000000	0.00000000	0.36101011	0.04314691	0.94692477	1.49354411	0.41241819	0.10666298
13.3	0.045	0.650	12	10.60000016	-0.26545515	0.0000349274291813	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.13786608	2.50701462	0.53181203	0.57982297
32.0	0.045	0.650	12	10.24287677	-0.81951227	0.0000315618846448	1	2	0.00000000	0.00000000	0.00000000	0.00000000	5.19886938	2.81112365	0.42544923	0.63530350
7.4	-0.835	0.650	12	6.26932806	-0.10913500	0.0000074981430102	1	2	0.00000000	0.00000000	0.00000000	0.00000000	0.47786410	2.49723154	0.08193181	0.49541928
32.0	-0.835	0.875	12	48.97353652	-0.18314784	0.0034365886727814	1	2	0.00000000	0.00000000	0.00000000	0.00000000	5.93395244	5.64367638	0.16079661	0.40128021
23.8	-0.835	0.650	12	23.46289288	-0.31021358	0.0003836812916989	1	2	0.00000000	0.00000000	0.00000000	0.00000000	1.68891432	2.07551696	0.33018099	0.11609567
42.8	-0.285	0.650	12	25.53151893	-0.59256580	0.0004918296082657	1	2	0.00000000	0.00000000	0.00000000	0.00000000	6.89376945	2.77694577	0.50232846	0.28624266
17.8	-0.725	0.650	12	23.96167753	-0.86560677	0.0004111833735033	1	2	0.00000000	0.00000000	0.00000000	0.00000000	5.73493552	3.47000791	0.33945934	0.37546166
9.9	-0.725	0.650	12	12.29730208	0.37205639	0.0000574660092182	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.12231481	2.03240726	0.39511200	0.23260646
17.8	-0.835	0.650	12	42.19607098	-0.52910346	0.0022120211108332	1	2	0.00000000	0.00000000	0.00000000	0.00000000	14.23741766	6.70227140	0.24430892	0.73546486
17.8	-0.285	0.650	12	24.25934512	-0.93953091	0.0004271075758388	1	2	0.00000000	0.00000000	0.00000000	0.00000000	2.19063412	3.11725827	0.19867237	0.24204456
