radius,temperature_MK,density_log_10,shell_mass_solar,be7_mass_fraction,pp fraction,8B fraction,13N fraction,15O fraction,17F fraction,7Be fraction,pep fraction,hep fraction
0.01489,15.639,2.007,1.564e-05,1.69e-11,9.73e-05,0.001128,0.000903,0.001027,0.001062,0.0004708,0.000152,4.053e-05
0.01511,15.636,2.007,1.631e-05,1.688e-11,0.0001015,0.001173,0.0009389,0.001068,0.001104,0.0004904,0.0001585,4.231e-05
0.01533,15.634,2.007,1.701e-05,1.686e-11,0.0001059,0.00122,0.000976,0.00111,0.001148,0.0005107,0.0001653,4.416e-05
0.01556,15.631,2.006,1.773e-05,1.685e-11,0.0001104,0.001268,0.001014,0.001154,0.001193,0.0005317,0.0001723,4.609e-05
0.01579,15.629,2.006,1.849e-05,1.683e-11,0.0001151,0.001318,0.001054,0.001199,0.00124,0.0005536,0.0001796,4.81e-05
0.01602,15.626,2.006,1.927e-05,1.681e-11,0.00012,0.001369,0.001095,0.001246,0.001289,0.0005761,0.0001871,5.019e-05
0.01626,15.624,2.006,2.008e-05,1.679e-11,0.0001251,0.001422,0.001137,0.001294,0.001338,0.0005995,0.000195,5.236e-05
0.01649,15.621,2.006,2.093e-05,1.677e-11,0.0001303,0.001477,0.00118,0.001343,0.00139,0.0006237,0.0002031,5.462e-05
0.01674,15.618,2.005,2.18e-05,1.675e-11,0.0001358,0.001534,0.001225,0.001394,0.001443,0.0006488,0.0002116,5.697e-05
0.01698,15.615,2.005,2.271e-05,1.672e-11,0.0001415,0.001592,0.001271,0.001446,0.001497,0.0006747,0.0002203,5.941e-05
0.01723,15.612,2.005,2.365e-05,1.67e-11,0.0001474,0.001652,0.001319,0.001501,0.001554,0.0007015,0.0002294,6.195e-05
0.01748,15.609,2.005,2.463e-05,1.668e-11,0.0001535,0.001713,0.001368,0.001556,0.001612,0.0007291,0.0002388,6.458e-05
0.01773,15.606,2.005,2.564e-05,1.666e-11,0.0001598,0.001777,0.001418,0.001613,0.001671,0.0007577,0.0002485,6.731e-05
0.01799,15.603,2.004,2.669e-05,1.663e-11,0.0001664,0.001842,0.00147,0.001672,0.001732,0.0007872,0.0002586,7.015e-05
0.01825,15.6,2.004,2.777e-05,1.661e-11,0.0001731,0.001909,0.001523,0.001733,0.001795,0.0008176,0.0002691,7.31e-05
0.01851,15.596,2.004,2.889e-05,1.658e-11,0.0001802,0.001978,0.001577,0.001795,0.00186,0.000849,0.0002798,7.615e-05
0.01878,15.593,2.004,3.006e-05,1.656e-11,0.0001874,0.002048,0.001633,0.001858,0.001926,0.0008814,0.000291,7.932e-05
0.01905,15.589,2.004,3.126e-05,1.653e-11,0.000195,0.002121,0.001691,0.001923,0.001994,0.0009147,0.0003025,8.26e-05
0.01932,15.586,2.003,3.25e-05,1.65e-11,0.0002028,0.002195,0.001749,0.00199,0.002064,0.0009491,0.0003145,8.6e-05
0.0196,15.582,2.003,3.378e-05,1.647e-11,0.0002108,0.002271,0.001809,0.002059,0.002135,0.0009844,0.0003268,8.953e-05
0.01987,15.578,2.003,3.511e-05,1.644e-11,0.0002191,0.002349,0.001871,0.002129,0.002208,0.001021,0.0003395,9.317e-05
0.02016,15.574,2.003,3.648e-05,1.641e-11,0.0002277,0.002429,0.001934,0.0022,0.002283,0.001058,0.0003526,9.695e-05
0.02044,15.57,2.002,3.789e-05,1.638e-11,0.0002366,0.00251,0.001998,0.002273,0.00236,0.001097,0.0003661,0.0001009
0.02073,15.566,2.002,3.935e-05,1.635e-11,0.0002457,0.002593,0.002064,0.002348,0.002438,0.001136,0.00038,0.0001049
0.02102,15.562,2.002,4.085e-05,1.632e-11,0.0002551,0.002678,0.002131,0.002424,0.002517,0.001176,0.0003944,0.0001091
0.02131,15.558,2.001,4.24e-05,1.629e-11,0.0002648,0.002765,0.002199,0.002502,0.002598,0.001218,0.0004092,0.0001134
0.02161,15.554,2.001,4.4e-05,1.626e-11,0.0002749,0.002853,0.002268,0.002581,0.002681,0.001261,0.0004244,0.0001179
0.02191,15.549,2.001,4.564e-05,1.622e-11,0.0002852,0.002943,0.002339,0.002661,0.002765,0.001304,0.0004401,0.0001225
0.02221,15.544,2.001,4.733e-05,1.619e-11,0.0002958,0.003034,0.002411,0.002743,0.002851,0.001349,0.0004562,0.0001272
0.02252,15.54,2.0,4.907e-05,1.615e-11,0.0003067,0.003127,0.002484,0.002826,0.002938,0.001394,0.0004727,0.0001321
0.02283,15.535,2.0,5.086e-05,1.611e-11,0.000318,0.003221,0.002558,0.00291,0.003026,0.001441,0.0004897,0.0001372
0.02314,15.53,2.0,5.27e-05,1.608e-11,0.0003295,0.003316,0.002633,0.002996,0.003116,0.001489,0.0005071,0.0001424
0.02345,15.525,1.999,5.459e-05,1.604e-11,0.0003414,0.003413,0.00271,0.003083,0.003207,0.001537,0.000525,0.0001478
0.02377,15.52,1.999,5.653e-05,1.6e-11,0.0003536,0.003511,0.002787,0.00317,0.003299,0.001587,0.0005434,0.0001533
